eic_approval_no,eic_plant_name,eic_address
1363,NDM SEAFOOD PROCESSORS AND EXPORTERS PRIVATE LIMITED,"Hosennabad Village, Mogra, Hooghly - 712148, West Bengal"
1366,"Orchid Marine Export pvt. Ltd,","KHALADIHA,NO.1,BADASIMULIA,BALIAPAL,BALASORE-756026,ODISHA"
1370,Bhimraj Export,"BADAPOKHARIA,PO-NILAGIRI-PATANA,PS-NIRAKARPUR,KHURDA,ODISHA-752019"
1373,SHNAKHA DEEP EXPORTS PRIVATE LIMITED(UNIT_II),"CHONDIGORI, BADU, NORTH 24 PARGANAS, KOLKATA-700128, WEST BENGAL"
1383,GADRE MARINE EXPORT PRIVATE LIMITED,"Surimi Unit, Salt Road, Tundara, PO Inchudi, Remuna Block, Balasore 756021, Odisha."
146,Rahul Foods (Goa),"Next to Government Fish Farm, Dauji, Ela, Old-Goa, Goa-403402, India"
1512,Janatha Fish Meal & Oil Products,"Manoor Fisheries Road,Kota-576221, UdupiDist,Karnataka"
1521,M/s Seafood Innovations,"Kodamthuruthu, Kuthiathode P.O., Cherthala, Alappuzha Dist., 688538, Kerala"
1523,DOLPHIN WIRES PRIVATE LIMITED,"AP II/722, INDUSTRIAL ESTATEAROOR, ALAPPUZHA-688534KERALA, INDIA"
1525,International Freezfish Exports (Unit 1),"A P II/ 810, Industrial Estate, Aroor- 688534, Alleppey Dist. Kerala"
1526,United Marine Products,"Door No.1-1/20, Sea Road, Kotepura, Mangalore, Ullal-575020,"
1546,Ullal Fish Meal & Oil Company,"D.No.1-19/ISeaRoad,Kotepura,Ullal, Mangalore-575020"
1549,EMINENT SEAFOODS PVT LTD,"16/1127A, PLOT NO.9, COCHIN FISHERIES HARBOUR , THOPPUMPADY ,COCHIN -682005"
1556,AUTHENTIC OCEAN TREASURE,"Plot No. 1P-63A, M.S.E.Z., Mangalore Karnataka, Pin- 574142"
1559,BarakaOverseasTraders,"P.B.No.1204,BeachRoad,UllalDakshina, Kannada, Mangalore, Karnataka-575020."
1561,AL BADR SEAFOODS PVT. LTD. (UNIT-II),"PLOT NO. 33 B, CSEZ,KAKKANAD, COCHIN-682037, KERALA"
1563,"Raj Fishmeal and Oil Company – Unit-II,","D.No 1-23B, 3rdCross Malpe, Madhwaraj Road Malpe, Udupi District, Karnataka -576108."
1581,NAS FISHERIES PRIVATE LIMITED,"16/1712, Old No.22/1173-A  NH.47,EDAKOCHI,KOCHI-682010,KERALA,INDIA"
1583,Yashaswi Fish Meal and Oil Company- Branch 1,"Plot No IP-25A, Mangalore SEZ Permude Village, Mangalore Dakshina Kannada Karnataka-574509"
1585,Sterling Foods Unit-2,"Door No:2-157-1-A&B, Sasihithlu,Dakshina Kannada, Mangalore,Karnataka-574146"
1587,Mangalore Fish Meal & Oil Company,"Door No. 1-1-22 & 22 (1), Sea Road,Kotepura,Ullal,Mangalore-575020, Karnataka."
1594,YASHASWI FISH MEAL AND FISH OIL COMPANY BRANCH: 3,"D No 16-150 20, S.No.433/1, Plot No.20,  Shivalli Industrial Area, Manipal, Udupi, Karnataka-576104"
1601,"ACCELERATED FREEZE DRYING  COMPANY LIMITED,(UNIT-2)","FROZEN FOODS PLANT,14/418,THURAVOOR-KUMBALANGI ROAD,EZHUPUNNA ,CHERTHALA, ALAPPUZHA-688537"
1612,GOLDMARINE EXPORTS PVT.LTD,"SNDP JUNCTION
THURAVOOR P.O, KUTHIYATHODE
ALAPPUZHA DIST.688532
KERALA"
1613,"FRONTLINE EXPORTS PVT.LTD.,UNIT-2","INDUSTRIAL ESTATE , AROOR, ALAPPUZHA , KERALA -688 534"
1614,AVANTNATURE FOODS PRIVATE LIMITED,"VASANTHANARASAPURA INDUSTRIAL AREA, INDIA  FOOD PARK PHASE 3 KORA HOBLI  TUMKUR, TUMAKURU, KARNATAKA, 572138"
1800,APEX FROZEN FOODS LIMITED,"3-160,Panasapadu,Kakinada-533005,Andhra Pradesh"
1819,SURYAMITRA EXIM PVT. LTD.,"R.S No. 130, Yanamadurru Village, Bhimavaram Mandal, West Godavari District-534239, Andhra Pradesh"
1829,"Britto Seafoods Exports PVT.,LTD.","NO. 4/1 Balakrishnan street, Tondiarpet, Chennai - 600 081"
1836,MUNNANGI SEA FOODS PVT. LTD.,"Sy. No. 475, Jarugumalli (Post & Mandal), Prakasam District-523276, Andhra Pradesh"
1839,CRYSTAL SEA FOODS PRIVATE  LIMITED,"Sy.No : 233/3B, 234/2, 261/3A,  Challareddy palem (P), Nayuni Palli(Rev V), Near Potti Subbaiah Palem (V), Vetapalem(M), Prakasam (D), Andhra Pradesh-523187"
1840,BABY MARINE (EASTERN) EXPORTS (UNIT II),"DOOR NO. 341, SURVEY NO. 85/2A1, 85/2AC1, MANDAPAM, RAMANATHAPURAM DISTRICT-623518, TAMILNADU, INDIA."
1844,ABAD OVERSEAS PVT.LTD.,"SY.No.157/1, Amudalapalli Village, Nizampatnam (Mandal), Guntur District, Andhra Pradesh-522314, India."
1848,Arjuna Natural Private Limited,"15/4B, Sirambarayampalayam Road, Sennappachetty Pudur Post, Karumatham patty (Via), Coimbatore-641059"
1855,NEELI AQUA PRIVATE LIMITED,"Vipparlavaripalem Village, Near Korisapadu NH-5, Addanki Mandal,Prakasam District,Andhra Pradesh -523 212"
1856,Naga Hanuman Fish Packers Unit-1,"Survey No.71p & 73p Palavalasa Village,Anandapuram Mandal,Visakhapatnam-530052,Andhrapradesh"
1865,JACK-VIN SEAFOODS,"S.F.No.S.No.91 Park, (Plot No.100, 101 and 102), Old S.No. 46, Pachayankuppam Village, Cuddalore District-607003,Tamil Nadu"
1880,ANI EXPORTS,"R.S No. 28/2 Cuddalore, Tollgate, Ariyankuppam, Pondicherry-605007"
1885,SURYA SEA FOOD EXPORTS UNIT-I,"6/33 A5, Annai Theresa Nagar, Tharuvaikulam Village, Tuticorin - 628105"
1887,AKSHAY FOOD IMPEX PVT LTD,"R S NO 490/1&2 PAMARRU(V) PAMARRU(M) KRISHNA DISTRICT-521157 ANDHRA PARADESH, INDIA"
1888,"Devi Fisheries Limited, Unit-5","12-274, Seethanagaram  Village, Jaggampeta Mandal, Kakinada, Andhra Pradesh-533435"
1892,GLADSON EXPORTERS UNIT-II,"5/218 JAMES NAGAR, 
MUTTOM-629202, KANYAKUMARI DISTRICT, 
TAMIL NADU."
1894,AISHWARYA IMPEX,"NO:136, SOMESWARAM VILLAGE ALAPADU POST,KAIKALURU MANDAL KRISHNA DISTRICT-521340 ANDHRA PRADESH"
1904,THARANGINI  SEA FOODS,"4/210,MGR ROAD,PALAVAKKAM,CHENNAI"
1906,AVR MARINE PRIVATE LIMITED,"R.S.NO.60/3B, Thirupathipuram Attili Mandal,West Godavari District ,Andhra Pradesh -534134 ,India"
1907,KANANU EMIPRE PRIVATE LIMITED,"Door no:15-222/19/4, Balapur ward,nearRCI road,Hyderabad-500005 Telangana"
1936,Devi Fisheries Limited,"Plot No : D4, Sy.Nos : 208, Ponnada, U.Kothapalli Mandal, East Godavari District, Pin Code :- 533448,Andhra pradesh"
1942,V B Medicare Pvt. Ltd,"Plot  No 59, 61, 62, 63, 66A & 67,SIPCOT Ind Area Phase â??II
Krishnagiri  Main Road, Hosur 635 109     (T N)"
1946,SANDHYA AQUA EXPORTS PRIVATE LIMITED,"KSEZ,R.Sy No.208,Plot No,D5-D6,Ponnada Village,U.Kothapalli Mandal,Kakinada,East Godavari District,Andhra Pradesh-533448"
1951,KANNAN MARINE FOODS,"PLOT NO: 42, T.T.S.NAGAR, THIRUVERKADU,        CHENNAI - 600077."
1952,DEVI SEA FOODS LIMITED (UNIT-II),"SY.NO.80/5, 81/1 A, 
MULAGUNTAPADU(V),
SINGARAYAKONDA-523101 PRAKASAM DISTRICT, ANDHRA PRADESH, INDIA"
1958,Sai Primus Life Biotech Pvt. Ltd,"R.S.No.4/3, Plot No. 33, Kurumapet Industrial Estate, Villianur Commune, Puducherry- 605009"
1965,GREAT INDIAN SEA FOODS,"S.NO: 457/2 Part ,PLOT No. 349-352, THANJAI SENGUNDAR NAGAR, VILANGADUPAKKAM"
1972,M/S. MEKWORLD MARINES AND EXPORTS PRIVATE LIMITED,"S. No: 382/1, 2,3, Agarru Road, Agarthipalem Village,
Palakollu Mandal, West Godavari District, 
Andhra Pradesh, India. Pin code: 534260."
1973,Deva Sea Food Unit- 1,"3/12E Bye Pass Road, Madathur, Tuticorin-628101, Tamil Nadu"
1974,Devi Sea Foods Limited (Unit-3),"R.S.No. 741/2P, 742/3P, 745/6P, 7P&8P,746/3P&4P Peravali Road, Tanuku 534211, West Godavari District, Andhra Pradesh, India"
1978,"DEVI FISHERIES LIMITED, UNIT-6","12-275, SEETHANAGARAM VILLAGE, JAGGAMPETA MANDAL,KAKINADA DISTRICT, ANDHRA PRADESH-533435"
1987,SANDHYA MARINES LIMITED,"R.S.NO. 117, 118, 119 127 & 130
POOLAPALLI VILLAGE, 
PALAKOLE MANDAL,
WEST GODAVARI DISTRICT - 534 250, ANDHRA PRADESH, INDIA"
1999,SAI MARINE EXPORTS PVT. LTD.,"S.No.247 & 248, Narayana Reddy Peta, Nellore Rural & Mandal, SPSR Nellore District- 524 314, Andhra Pradesh"
204,K. R. Sea Foods Pvt. Ltd.,"Plot No. 1006/1007, GIDC Estate, Veraval-362269, Gujarat, India"
214,Indian Exports,"Plot No.1316/1-2, G.I.D.C. Estate, Veraval-362269, Gujarat-India"
222,Ulka Seafoods Pvt. Ltd. (Unit- II),"Orgao Marcela, Goa 403107, India"
224,Corlim Marine Exports Pvt. Ltd,"Plot No. 25-32, Phase III- B, Sancoale Industrial Estate, Zuari Nagar,Goa- 403726, India"
234,HMG Industries Limited,"C-21/6,TTC Industrial Area, Pawne MIDC,Thane-Belapur Road, Vashi, Navi Mumbai, Maharashtra-400703,India"
238,Bhavani Sea Foods,"Plot No.12/13, Fisheries Harbour, Bhidiya Plot, Veraval-362267, Gujarat, India"
252,Amison  Fisheries Limited,"279/37 A1 & A2, AT & Post Kelethar, Tarkarli Road, Malvan , Dist -Sindhudurg, Maharashtra- 416606"
2607,Sun International,"Plot No. 1403, GIDC Estate, Veraval-362269, Gujarat, India"
2608,J M Sea Foods,"Plot No.315 & 316, GIDC Estate, Veraval-362269, Gujarat, India"
2612,Salet Seafoods Private Limited -Unit I,"Plot No 46 to 67, GIDC Industrial Estate, Vanana, Porbandar -360550, Gujarat, India"
2623,Elaf Cold Storage Plant -1,"Plot No. M-63 and M-64, MIDC Taloja,Tal. Panvel, Dist.Raigad, Maharashtra 410208"
2624,Elaf Cold Storage Plant - 2,"Plot No. M-63 and M-64, MIDC Taloja,Tal. Panvel, Dist.Raigad, Maharashtra 410208"
2627,OM DARSHAN MARKETING PRIVATE LIMITED,"Plot.No.232 A, Road No. 21Y, Wagle Industrial Estate, Thane West 400604 Maharashtra"
