eic_approval_no,eic_plant_name,eic_address
959,EDHAYAM FROZEN FOODS PVT.LTD.,"4/91-A&B, MARAVANMADAM VILLAGE, PUDUKOTTAI, TUTICORIN 628103, TAMILNADU."
975,KADER EXPORTS PRIVATE LIMITED UNIT 04,"2/91, PATTINAMARUTHUR VILLAGE, THARUVAIKULAM POST, TUTICORIN - 628105, TAMIL NADU."
976,"KADER EXPORTS PRIVATE LIMITED, Unit 03","""A"" Block I.D.A, Autonagar, Visakhapatnam, Andhra Pradesh-530012, India"
990,DEVI FISHERIES LIMITED,"2-159, APSP Camp, Panasapadu, Kakinada-533005, Andhra Pradesh"
CHE/FFP/02728,"Sandhya Aqua Exports Pvt. Ltd., Unit-II","NH-65, Kurumaddali Village, Pamarru Post & Mandal Krishna District, Andhra Pradesh - 521157"
CHE/FFP/02741,GODAVARI MEGA AQUA  FOOD PARK  PRIVATE LIMITED,"R.S. No. 799,Tundurru Village,
Bhimavaram Mandal,West Godavari District,Andhra Pradesh,India,PIN-534207."
CHE/FFP/02744,MOURYA AQUEX PRIVATE LIMITED,"1-330/1, Komarada Road, Rayalam Village, Bhimavaram-534208, West Godavari District, Andhra Pradesh, India"
CHE/FFP/02784,M/s. Satish Marine Exim Private Limited,"Dammanavaripalem Village & Post, Karlapalem Mandal, Guntur District-522111, Andhra Pradesh"
KOC/FFP/02587,Nettos Marine Exports,"V/551, Neendakara, Kollam, Kerala, India, Pin -691582"
KOC/FFP/02694,Beloorbayir Biotech Ltd.,"10,13th Crioss, 34th Ward37th Main, DoddannaIndustrial Estate, NearPeenya 2nd Stage,Bangalore 560091"
KOC/FFP/02701,GADRE MARINE EXPORT PRIVATE LIMITED - BRANCH 9,"Surimi Unit, Plot No. IP-32 & IP-33, Mangalore Special Economic Zone, Bajpe Post & Village, Mangaluru Taluk, Dakshina Kannada District-574142, Karnataka, India."
KOC/FFP/02702,GADRE MARINE EXPORT PRIVATE LIMITED - BRANCH 8,"Fish Meal & Fish Oil Unit, Plot No.IP-32 &IP-33, Mangalore Special Economic Zone, Bajpe Post & Village, Mangaluru Taluk, Dakshina Kannada District-574142, Karnataka, India."
KOC/FFP/02739,Yashaswi Fish Meal and Oil Company-Branch:2,"Plot No IP-25A,PartII,PermudeVillage, Mangalore SERZ, Dakshina Kannada,Karnataka-574509."
MUM-PP-08,Hiravati Marine Products Pvt. Ltd. ( Independent Pre-Processing Plant),"Jawar Naka, Porbandar-360575, Gujarat, India."
MUM/FFP/02565,Rahemat Fish Centre,"Plot No. 812, G.I.D.C., Estate, Somnath Road,Veraval - 362 269, Dist. Gir Somnath, Gujarat, India"
MUM/FFP/02597,H.H. Marine.,"Plot No. 19, Survey No. 1788/1, Near Win Marine Exports, Veraval-362269, Gujarat, India"
