approval_no,name,company_name,country,region,city,address,latitude,longitude,geocode_confidence,geocode_formatted,scope,primary_species,email,phone,website,business_no,status,verified,verification_level,admin_notes
A51,Fjordfisk As   Son Fiskemottak (Mattilsynet #A51),Fjordfisk As   Son Fiskemottak,Norway,,Son,"Storgata 23, 1555 Son, Norway",59.523989,10.686404,10,"Storgata 23, 1555 Son, Norway",FFPP,,,,,915067506,approved,true,documentation_verified,Mattilsynet approved establishment #A51. Scope: Fresh fishery products processing. Business #915067506.
A232,Mowi Logistics (Mattilsynet #A232),Mowi Logistics,Norway,,Gardermoen,"Kurillvegen 8, 2060 Gardermoen, Norway",60.175377,11.133497,10,"Kurillvegen 8, 2060 Gardermoen, Norway",RW,,,,,993493791,approved,true,documentation_verified,Mattilsynet approved establishment #A232. Scope: Rewrapping/relabelling. Business #993493791.
A234,Faun Pharma As (Mattilsynet #A234),Faun Pharma As,Norway,,Vestby,"Støttumveien 9, 1543 Vestby, Norway",59.605947,10.750712,10,"Støttumveien 9B, 1543 Vestby, Norway",PP-MA,,,,,983386156,approved,true,documentation_verified,Mattilsynet approved establishment #A234. Scope: Processing plant - marine animal products. Business #983386156.
A240,Norway King Crab Hub As (Mattilsynet #A240),Norway King Crab Hub As,Norway,,Oppaker,"Industrivegen 27, 2166 Oppaker, Norway",60.190479,11.545815,10,"Industrivegen 27, 2166 Oppaker, Norway",PP-C,,,,,914075890,approved,true,documentation_verified,Mattilsynet approved establishment #A240. Scope: Processing plant - crustacean. Business #914075890.
A241,Alimenta As Avd Produksjon (Mattilsynet #A241),Alimenta As Avd Produksjon,Norway,,Frogner,"Jeksleveien 2, 2016 Frogner, Norway",60.040379,11.12043,10,"Jeksleveien 2, 2016 Frogner, Norway",RW,,,,,926457896,approved,true,documentation_verified,Mattilsynet approved establishment #A241. Scope: Rewrapping/relabelling. Business #926457896.
A242,Vitalis Pharma (Mattilsynet #A242),Vitalis Pharma,Norway,,Asker,"Drengsrudhagen 6, 1385 Asker, Norway",59.8248152,10.401294,10,"Drengsrudhagen 6, 1385 Asker, Norway",PP-MA,,,,,821099412,approved,true,documentation_verified,Mattilsynet approved establishment #A242. Scope: Processing plant - marine animal products. Business #821099412.
A244,Sanomega E&E As (Mattilsynet #A244),Sanomega E&E As,Norway,,Son,"Sagaveien 50, 1555 Son, Norway",59.5245067,10.6887706,10,"Sagaveien 50, 1555 Son, Norway",PP-MA,,,,,932869624,approved,true,documentation_verified,Mattilsynet approved establishment #A244. Scope: Processing plant - marine animal products. Business #932869624.
A245,Maskinpakking As (Mattilsynet #A245),Maskinpakking As,Norway,,Åros,"Johan Follestads Vei 18, 3474 Åros, Norway",59.695543,10.492434,10,"Johan Follestads vei 18, 3474 Åros, Norway",RW,,,,,974092557,approved,true,documentation_verified,Mattilsynet approved establishment #A245. Scope: Rewrapping/relabelling. Business #974092557.
A246,Oslo Salmon Processing As Avd. Gardemoen (Mattilsynet #A246),Oslo Salmon Processing As Avd. Gardemoen,Norway,,Gardermoen,"Maren Furulunds Veg 20b, 2060 Gardermoen, Norway",60.174736,11.136295,10,"Maren Furulunds veg 20B, 2060 Gardermoen, Norway",FFPP-P,,,,,936316611,approved,true,documentation_verified,Mattilsynet approved establishment #A246. Scope: Fresh fishery products processing - pelagic. Business #936316611.
AA61,Fiskernes Salgslag (Mattilsynet #AA61),Fiskernes Salgslag,Norway,,Grimstad,"Storg 2, 4876 Grimstad, Norway",58.3405,8.5934,7,"4876 Nordland, Norway","FFPP, FFPP-P",,,,,971687347,approved,true,documentation_verified,"Mattilsynet approved establishment #AA61. Scope: Fresh fishery products processing, Fresh fishery products processing - pelagic. Business #971687347."
AA74,Arendal Fiskemottak As (Mattilsynet #AA74),Arendal Fiskemottak As,Norway,,Arendal,"Kystveien 28, 4841 Arendal, Norway",58.461733,8.777141,10,"Kystveien 28, 4841 Arendal, Norway","FFPP, FFPP-P",,,,,983597564,approved,true,documentation_verified,"Mattilsynet approved establishment #AA74. Scope: Fresh fishery products processing, Fresh fishery products processing - pelagic. Business #983597564."
AA202,Ferdigmat As (Mattilsynet #AA202),Ferdigmat As,Norway,,Arendal,"Holmen 6, 4842 Arendal, Norway",58.4713264,8.7982881,10,"Holmen 6, 4842 Arendal, Norway",PP,,,,,971783176,approved,true,documentation_verified,Mattilsynet approved establishment #AA202. Scope: Processing plant. Business #971783176.
AA415,Eco Marine As (Mattilsynet #AA415),Eco Marine As,Norway,,Kolbjørnsvik,"Langodden 14, 4816 Kolbjørnsvik, Norway",58.4475694,8.7757749,10,"Langodden 14, 4816 Kolbjørnsvik, Norway",PP-MA,,,,,993907367,approved,true,documentation_verified,Mattilsynet approved establishment #AA415. Scope: Processing plant - marine animal products. Business #993907367.
AA447,Hos Oss Lillesand As (Mattilsynet #AA447),Hos Oss Lillesand As,Norway,,Lillesand,"Havnegata 3, 4790 Lillesand, Norway",58.2477141,8.3779554,10,"Havnegata 3, 4790 Lillesand, Norway","FFPP, PP",,,,,919335068,approved,true,documentation_verified,"Mattilsynet approved establishment #AA447. Scope: Fresh fishery products processing, Processing plant. Business #919335068."
AG2,Maxi Catering As (Mattilsynet #AG2),Maxi Catering As,Norway,,Kristiansand S,"Stålveien 9, 4629 Kristiansand S, Norway",58.1465135,7.9599529,10,"Stålveien 9, 4629 Kristiansand, Norway",PP,,,,,924803096,approved,true,documentation_verified,Mattilsynet approved establishment #AG2. Scope: Processing plant. Business #924803096.
AG8,Fjord Service Flekkefjord As (Mattilsynet #AG8),Fjord Service Flekkefjord As,Norway,,Flekkefjord,"Abelnes 60, 4404 Flekkefjord, Norway",58.238769,6.655206,10,"Abelnes 60, 4404 Flekkefjord, Norway",FFPP-SA,,,,,916646410,approved,true,documentation_verified,Mattilsynet approved establishment #AG8. Scope: Fresh fishery products processing - salmon/aquaculture. Business #916646410.
AG10,Nødings Delikatesse (Mattilsynet #AG10),Nødings Delikatesse,Norway,,Mandal,"Sommerkroveien 5a, 4515 Mandal, Norway",58.026739,7.473829,10,"Sommerkroveien 5A, 4515 Mandal, Norway",FFPP-P,,,,,982958792,approved,true,documentation_verified,Mattilsynet approved establishment #AG10. Scope: Fresh fishery products processing - pelagic. Business #982958792.
AG18,Sirdal Stun As (Mattilsynet #AG18),Sirdal Stun As,Norway,,Tonstad,"Tonstadveien 9, 4440 Tonstad, Norway",58.6673065,6.7160264,10,"Tonstadveien 9, 4440 Tonstad, Norway",FFPP-SA,,,,,928697029,approved,true,documentation_verified,Mattilsynet approved establishment #AG18. Scope: Fresh fishery products processing - salmon/aquaculture. Business #928697029.
AG20,Domstein Sjømat As Avd Kristiansand (Mattilsynet #AG20),Domstein Sjømat As Avd Kristiansand,Norway,,Flekkerøy,"Østerøya 242, 4625 Flekkerøy, Norway",58.0780535,8.0136497,10,"Østerøya 242, 4625 Flekkerøy, Norway",FFPP,,,,,979195095,approved,true,documentation_verified,Mattilsynet approved establishment #AG20. Scope: Fresh fishery products processing. Business #979195095.
AG28,Rtka As (Mattilsynet #AG28),Rtka As,Norway,,Risør,"Hestemyrveien 24, 4950 Risør, Norway",58.713776,9.174089,10,"Hestemyrveien 24B, 4950 Risør, Norway",RW,,,,,930926957,approved,true,documentation_verified,Mattilsynet approved establishment #AG28. Scope: Rewrapping/relabelling. Business #930926957.
AG31,Sørlandskrabbe Avd Hæstad (Mattilsynet #AG31),Sørlandskrabbe Avd Hæstad,Norway,,Høvåg,"Kastoddveien 32, 4770 Høvåg, Norway",58.1699,8.2474,7,"4770 Nordland, Norway",PP-C,,,,,927414651,approved,true,documentation_verified,Mattilsynet approved establishment #AG31. Scope: Processing plant - crustacean. Business #927414651.
BU50,Hansens Røkeri As (Mattilsynet #BU50),Hansens Røkeri As,Norway,,Drammen,"Frydenhaugveien 2, 3041 Drammen, Norway",59.730042,10.218971,10,"Frydenhaugveien 2, 3041 Drammen, Norway","FFPP-P, PP",,,,,973133802,approved,true,documentation_verified,"Mattilsynet approved establishment #BU50. Scope: Fresh fishery products processing - pelagic, Processing plant. Business #973133802."
BU200,Torgersen Mat Og Pølsemakeri As (Mattilsynet #BU200),Torgersen Mat Og Pølsemakeri As,Norway,,Hokksund,"Stasjonsgata 34, 3300 Hokksund, Norway",59.7703017,9.9096067,10,"Stasjonsgata 34, 3300 Hokksund, Norway",PP,,,,,875395882,approved,true,documentation_verified,Mattilsynet approved establishment #BU200. Scope: Processing plant. Business #875395882.
BU242,Norgescatering As (Mattilsynet #BU242),Norgescatering As,Norway,,Tranby,"Dølasletta 3, 3408 Tranby, Norway",59.8178209,10.2737468,10,"Dølasletta 3, 3408 Tranby, Norway",PP,,,,,985684642,approved,true,documentation_verified,Mattilsynet approved establishment #BU242. Scope: Processing plant. Business #985684642.
BU308,Ferskvannsfisk As (Mattilsynet #BU308),Ferskvannsfisk As,Norway,,Krokkleiva,"Høgkastveien 24, 3531 Krokkleiva, Norway",60.0422731,10.2724531,10,"Høgkastveien 24, 3531 Krokkleiva, Norway","FFPP, PP",,,,,994171852,approved,true,documentation_verified,"Mattilsynet approved establishment #BU308. Scope: Fresh fishery products processing, Processing plant. Business #994171852."
BU309,Skarvheimen Fjellfisk Da (Mattilsynet #BU309),Skarvheimen Fjellfisk Da,Norway,,Ål,"V/Kirsti Skrattegard, 3570 Ål, Norway",60.6282,8.5628,7,"3570 Hedmark, Norway",PP,,,,,985347611,approved,true,documentation_verified,Mattilsynet approved establishment #BU309. Scope: Processing plant. Business #985347611.
F50,Willy Myhre (Mattilsynet #F50),Willy Myhre,Norway,,Varangerbotn,"Tufteveien 7, 9840 Varangerbotn, Norway",70.1559778,28.8552953,10,"Tufteveien 7, 9840 Varangerbotn, Norway",PP-ST,,,,,912135748,approved,true,documentation_verified,Mattilsynet approved establishment #F50. Scope: Processing plant - smoked/traditional. Business #912135748.
F55,Kirkenes Processing As (Mattilsynet #F55),Kirkenes Processing As,Norway,,Jarfjord,"Timberveien 85, 9911 Jarfjord, Norway",69.732419,30.107761,10,"Timberveien 85, 9911 Jarfjord, Norway","FFPP-P, FFPP-SA",,,,,990457719,approved,true,documentation_verified,"Mattilsynet approved establishment #F55. Scope: Fresh fishery products processing - pelagic, Fresh fishery products processing - salmon/aquaculture. Business #990457719."
F62,Gunnar Ingebrigtsen (Mattilsynet #F62),Gunnar Ingebrigtsen,Norway,,Kviby,"Storekorsnesveien 230, 9519 Kviby, Norway",70.2190276,23.2336589,10,"Storekorsnesveien 230, 9519 Kviby, Norway",PP-ST,,,,,,approved,true,documentation_verified,Mattilsynet approved establishment #F62. Scope: Processing plant - smoked/traditional.
F69,Norway Shrimp As (Mattilsynet #F69),Norway Shrimp As,Norway,,Bugøynes,"nan, 9935 Bugøynes, Norway",69.972965,29.6420545,7,"Bugøynes - Buođggák - Pykeijä, Finnmark, Norway","FFPP, FFPP-P, PP-C",,,,,976273052,approved,true,documentation_verified,"Mattilsynet approved establishment #F69. Scope: Fresh fishery products processing, Fresh fishery products processing - pelagic, Processing plant - crustacean. Business #976273052."
F90,Kranes Kjøkken As (Mattilsynet #F90),Kranes Kjøkken As,Norway,,Breivikbotn,"Strandgaten 21, 9593 Breivikbotn, Norway",70.5887,22.2849,7,"9593 Vestfold, Norway","FFPP-P, PP",,,,,994325361,approved,true,documentation_verified,"Mattilsynet approved establishment #F90. Scope: Fresh fishery products processing - pelagic, Processing plant. Business #994325361."
F100,Vardø Videregående Skole (Mattilsynet #F100),Vardø Videregående Skole,Norway,,Vardø,"Kaigata 6, 9952 Vardø, Norway",70.371646,31.103855,10,"Kaigata 6, 9952 Vardø, Norway","FFPP, FFPP-P, PP-KL, PP-SA, PP-ST",,,,,974622777,approved,true,documentation_verified,"Mattilsynet approved establishment #F100. Scope: Fresh fishery products processing, Fresh fishery products processing - pelagic, PP-KL, PP-SA, Processing plant - smoked/traditional. Business #974622777."
F101,Seagourmet Norway As (Mattilsynet #F101),Seagourmet Norway As,Norway,,Båtsfjord,"Havnegata 16, 9990 Båtsfjord, Norway",70.63797,29.731743,10,"Havnegata 16, 9990 Båtsfjord, Norway","FFPP, FFPP-P, PP-C",,,,,994572709,approved,true,documentation_verified,"Mattilsynet approved establishment #F101. Scope: Fresh fishery products processing, Fresh fishery products processing - pelagic, Processing plant - crustacean. Business #994572709."
F104,Arctic Catch As (Mattilsynet #F104),Arctic Catch As,Norway,,Vardø,"Svartneset, 9950 Vardø, Norway",70.3705,31.1107,7,"9950 Vestfold, Norway","FFPP, PP",,,,,993277525,approved,true,documentation_verified,"Mattilsynet approved establishment #F104. Scope: Fresh fishery products processing, Processing plant. Business #993277525."
F106,Hansen Bjarne (Mattilsynet #F106),Hansen Bjarne,Norway,,Bugøynes,"Vestersandveien 4, 9935 Bugøynes, Norway",69.971786,29.632924,10,"Vestersandveien 4, 9935 Bugøynes, Norway",PP-ST,,,,,998952301,approved,true,documentation_verified,Mattilsynet approved establishment #F106. Scope: Processing plant - smoked/traditional. Business #998952301.
F158,Arctic Catch As (Mattilsynet #F158),Arctic Catch As,Norway,,Vardø,"Svartneset, 9950 Vardø, Norway",70.3705,31.1107,7,"9950 Vestfold, Norway","FFPP, FFPP-P, PP-C",,,,,993277525,approved,true,documentation_verified,"Mattilsynet approved establishment #F158. Scope: Fresh fishery products processing, Fresh fishery products processing - pelagic, Processing plant - crustacean. Business #993277525."
F161,Lerøy Norway Seafoods As Avd Båtsfjord (Mattilsynet #F161),Lerøy Norway Seafoods As Avd Båtsfjord,Norway,,Båtsfjord,"Holmen, 9990 Båtsfjord, Norway",70.6313012,29.7213964,9,"Nedre Holmen, 9990 Båtsfjord, Norway","FFPP, FFPP-P, MSM, PP, PP-SA",,,,,974071037,approved,true,documentation_verified,"Mattilsynet approved establishment #F161. Scope: Fresh fishery products processing, Fresh fishery products processing - pelagic, MSM, Processing plant, PP-SA. Business #974071037."
F162,Båtsfjordbruket As (Mattilsynet #F162),Båtsfjordbruket As,Norway,,Båtsfjord,"Fomavegen 7, 9990 Båtsfjord, Norway",70.633539,29.719066,10,"Fomavegen 7, 9990 Båtsfjord, Norway","FFPP, FFPP-P, PP, PP-C",,,,,973235885,approved,true,documentation_verified,"Mattilsynet approved establishment #F162. Scope: Fresh fishery products processing, Fresh fishery products processing - pelagic, Processing plant, Processing plant - crustacean. Business #973235885."
F201,Coast Berlevåg As (Mattilsynet #F201),Coast Berlevåg As,Norway,,Berlevåg,"Samfunnsgata 12, 9981 Berlevåg, Norway",70.8553781,29.0823382,9,"Samfunnsgata, 9980 Berlevåg, Norway","FFPP, PP, PP-C",,,,,889886102,approved,true,documentation_verified,"Mattilsynet approved establishment #F201. Scope: Fresh fishery products processing, Processing plant, Processing plant - crustacean. Business #889886102."
F202,Lerøy Norway Seafoods As Avd Berlevåg (Mattilsynet #F202),Lerøy Norway Seafoods As Avd Berlevåg,Norway,,Berlevåg,"Storgata 18a, 9980 Berlevåg, Norway",70.8584072,29.087707,10,"Storgata 18A, 9980 Berlevåg, Norway","FFPP, FFPP-P, PP",,,,,986004475,approved,true,documentation_verified,"Mattilsynet approved establishment #F202. Scope: Fresh fishery products processing, Fresh fishery products processing - pelagic, Processing plant. Business #986004475."
F205,Berle Fisk As (Mattilsynet #F205),Berle Fisk As,Norway,,Berlevåg,"Storgata 22 Postboks 310, 9980 Berlevåg, Norway",70.8588098,29.0911219,10,"Storgata 22, 9980 Berlevåg, Norway","FFPP, FFPP-P",,,,,974453614,approved,true,documentation_verified,"Mattilsynet approved establishment #F205. Scope: Fresh fishery products processing, Fresh fishery products processing - pelagic. Business #974453614."
F226,Skjånesbruket (Mattilsynet #F226),Skjånesbruket,Norway,,Skjånes,"Skjånes Kai, 9771 Skjånes, Norway",70.800956,28.099633,9,"Skjånes kai, 8074, 9771 Skjånes, Norway","FFPP, FFPP-P, PP, PP-C, PP-ST",,,,,974097532,approved,true,documentation_verified,"Mattilsynet approved establishment #F226. Scope: Fresh fishery products processing, Fresh fishery products processing - pelagic, Processing plant, Processing plant - crustacean, Processing plant - smoked/traditional. Business #974097532."
F242,North Cape Food As Avd Gjesvær (Mattilsynet #F242),North Cape Food As Avd Gjesvær,Norway,,Gjesvær,"Kobbenesvegen 4, 9765 Gjesvær, Norway",71.098914,25.3923062,10,"Kobbenesvegen 4, 9765 Gjesvær, Norway","FFPP, FFPP-P",,,,,931617168,approved,true,documentation_verified,"Mattilsynet approved establishment #F242. Scope: Fresh fishery products processing, Fresh fishery products processing - pelagic. Business #931617168."
F243,Gamst Shilova As (Mattilsynet #F243),Gamst Shilova As,Norway,,Vadsø,"Ørtangen 12, 9800 Vadsø, Norway",70.070481,29.749856,10,"Ørtangen 12, 9800 Vadsø, Norway",FFPP,,,,,925805211,approved,true,documentation_verified,Mattilsynet approved establishment #F243. Scope: Fresh fishery products processing. Business #925805211.
F251,Isanlegget As (Mattilsynet #F251),Isanlegget As,Norway,,Mehamn,"Industriveien, 9770 Mehamn, Norway",71.0357,27.8492,7,"9770 Vestfold, Norway","FFPP, PP",,,,,982123224,approved,true,documentation_verified,"Mattilsynet approved establishment #F251. Scope: Fresh fishery products processing, Processing plant. Business #982123224."
F260,Lerøy Norway Seafoods As Avd Kjøllefjord (Mattilsynet #F260),Lerøy Norway Seafoods As Avd Kjøllefjord,Norway,,Kjøllefjord,"Strandveien 79/81, 9790 Kjøllefjord, Norway",70.9457025,27.3420104,9,"Strandvegen, 9790 Kjøllefjord, Norway","FFPP, FFPP-P, PP, PP-C, PP-SA",,,,,971655534,approved,true,documentation_verified,"Mattilsynet approved establishment #F260. Scope: Fresh fishery products processing, Fresh fishery products processing - pelagic, Processing plant, Processing plant - crustacean, PP-SA. Business #971655534."
F261,Nordkyn Eiendom As (Mattilsynet #F261),Nordkyn Eiendom As,Norway,,Mehamn,"Værveien 71, 9770 Mehamn, Norway",71.037166,27.8490383,10,"Værveien 71, 9770 Mehamn, Norway","FFPP, FFPP-P, PP, PP-C, PP-SA, PP-ST",,,,,985951373,approved,true,documentation_verified,"Mattilsynet approved establishment #F261. Scope: Fresh fishery products processing, Fresh fishery products processing - pelagic, Processing plant, Processing plant - crustacean, PP-SA, Processing plant - smoked/traditional. Business #985951373."
F293,Storbukt Fiskeindustri As Avd Hovedanlegg Honningsvåg (Mattilsynet #F293),Storbukt Fiskeindustri As Avd Hovedanlegg Honningsvåg,Norway,,Honningsvåg,"Nordkappveien 2b, 9750 Honningsvåg, Norway",70.9919882,25.9670145,10,"Nordkappveien 2B, 9750 Honningsvåg, Norway","FFPP, PP-C, PP-SA, PP-ST",,,,,974200201,approved,true,documentation_verified,"Mattilsynet approved establishment #F293. Scope: Fresh fishery products processing, Processing plant - crustacean, PP-SA, Processing plant - smoked/traditional. Business #974200201."
F295,Gamvik Seafood As (Mattilsynet #F295),Gamvik Seafood As,Norway,,Gamvik,"Strandveien 16, 9775 Gamvik, Norway",71.0630828,28.2600867,10,"Strandveien 16, 9775 Gamvik, Norway","FFPP, FFPP-P, PP",,,,,995736586,approved,true,documentation_verified,"Mattilsynet approved establishment #F295. Scope: Fresh fishery products processing, Fresh fishery products processing - pelagic, Processing plant. Business #995736586."
F313,Nordvågen As Avd Nordvågen (Mattilsynet #F313),Nordvågen As Avd Nordvågen,Norway,,Nordvågen,"Hovedveien 45, 9760 Nordvågen, Norway",70.9838186,26.0305957,10,"Hovedveien 45, 9760 Nordvågen, Norway","FFPP, FFPP-P, PP, PP-C, PP-SA, PP-ST",,,,,976772172,approved,true,documentation_verified,"Mattilsynet approved establishment #F313. Scope: Fresh fishery products processing, Fresh fishery products processing - pelagic, Processing plant, Processing plant - crustacean, PP-SA, Processing plant - smoked/traditional. Business #976772172."
F323,Storbukt Fiskeindustri As Avd Hovedanlegg Honningsvåg (Mattilsynet #F323),Storbukt Fiskeindustri As Avd Hovedanlegg Honningsvåg,Norway,,Honningsvåg,"Nordkappveien 2b, 9750 Honningsvåg, Norway",70.9919882,25.9670145,10,"Nordkappveien 2B, 9750 Honningsvåg, Norway","FFPP, FFPP-P, PP-C, PP-SA, PP-ST",,,,,974200201,approved,true,documentation_verified,"Mattilsynet approved establishment #F323. Scope: Fresh fishery products processing, Fresh fishery products processing - pelagic, Processing plant - crustacean, PP-SA, Processing plant - smoked/traditional. Business #974200201."
F343,Jangaard Export As Avd Gjesvær (Mattilsynet #F343),Jangaard Export As Avd Gjesvær,Norway,,Gjesvær,"Kobbenesvegen 27, 9765 Gjesvær, Norway",71.0972662,25.398429,10,"Kobbenesvegen 27, 9765 Gjesvær, Norway","FFPP, FFPP-P, PP, PP-SA",,,,,980122247,approved,true,documentation_verified,"Mattilsynet approved establishment #F343. Scope: Fresh fishery products processing, Fresh fishery products processing - pelagic, Processing plant, PP-SA. Business #980122247."
F348,Even Harald Einarsen (Mattilsynet #F348),Even Harald Einarsen,Norway,,Varangerbotn,"Mortensnes, 9840 Varangerbotn, Norway",70.1728,28.556,7,"9840 Vestfold, Norway",PP-ST,,,,,,approved,true,documentation_verified,Mattilsynet approved establishment #F348. Scope: Processing plant - smoked/traditional.
F352,Tobø Fisk As (Mattilsynet #F352),Tobø Fisk As,Norway,,Havøysund,"Strandgata 105, 9690 Havøysund, Norway",70.9949737,24.6827739,10,"Strandgata 105, 9690 Havøysund, Norway","FFPP, FFPP-P, PP, PP-SA",,,,,974084376,approved,true,documentation_verified,"Mattilsynet approved establishment #F352. Scope: Fresh fishery products processing, Fresh fishery products processing - pelagic, Processing plant, PP-SA. Business #974084376."
F357,Aalesundfisk Skarsvåg As (Mattilsynet #F357),Aalesundfisk Skarsvåg As,Norway,,Skarsvåg,"Børnesveien 52, 9763 Skarsvåg, Norway",71.1141162,25.8321214,10,"Børnesveien 52, 9763 Skarsvåg, Norway","FFPP, FFPP-P, PP, PP-SA, PP-ST",,,,,917855374,approved,true,documentation_verified,"Mattilsynet approved establishment #F357. Scope: Fresh fishery products processing, Fresh fishery products processing - pelagic, Processing plant, PP-SA, Processing plant - smoked/traditional. Business #917855374."
F377,Tufjordbruket As (Mattilsynet #F377),Tufjordbruket As,Norway,,Tufjord,"nan, 9670 Tufjord, Norway",71.0050632,23.9089886,7,"Tufjord, Finnmark, Norway","FFPP, PP, PP-MA, PP-SA, PP-ST",,,,,989697838,approved,true,documentation_verified,"Mattilsynet approved establishment #F377. Scope: Fresh fishery products processing, Processing plant, Processing plant - marine animal products, PP-SA, Processing plant - smoked/traditional. Business #989697838."
F405,Øystein Kristiansen (Mattilsynet #F405),Øystein Kristiansen,Norway,,Varangerbotn,"Perlarsenvik, 9840 Varangerbotn, Norway",70.1728,28.556,7,"9840 Vestfold, Norway",PP-ST,,,,,973588737,approved,true,documentation_verified,Mattilsynet approved establishment #F405. Scope: Processing plant - smoked/traditional. Business #973588737.
F412,Lerøy Norway Seafoods As Avd Rypefjord (Mattilsynet #F412),Lerøy Norway Seafoods As Avd Rypefjord,Norway,,Rypefjord,"Havneveien 44, 9610 Rypefjord, Norway",70.6347734,23.6640032,10,"Havneveien 44, 9610 Rypefjord, Norway","FFPP, FFPP-P, PP, PP-KL, PP-SA, PP-ST",,,,,930739219,approved,true,documentation_verified,"Mattilsynet approved establishment #F412. Scope: Fresh fishery products processing, Fresh fishery products processing - pelagic, Processing plant, PP-KL, PP-SA, Processing plant - smoked/traditional. Business #930739219."
F421,Johan Kvalsvik As (Mattilsynet #F421),Johan Kvalsvik As,Norway,,Akkarfjord,"Akkarfjord 36, 9650 Akkarfjord, Norway",70.7936208,23.4075774,10,"Akkarfjord 36, 9650 Akkarfjord, Norway","FFPP, FFPP-P, PP, PP-SA, PP-ST",,,,,873190272,approved,true,documentation_verified,"Mattilsynet approved establishment #F421. Scope: Fresh fishery products processing, Fresh fishery products processing - pelagic, Processing plant, PP-SA, Processing plant - smoked/traditional. Business #873190272."
F430,Cermaq Norway As Avd Slakteri Rypefjord (Mattilsynet #F430),Cermaq Norway As Avd Slakteri Rypefjord,Norway,,Rypefjord,"Havneveien 36, 9610 Rypefjord, Norway",70.6340252,23.6667787,10,"Havneveien 36, 9610 Rypefjord, Norway","FFPP-P, FFPP-SA",,,,,981487575,approved,true,documentation_verified,"Mattilsynet approved establishment #F430. Scope: Fresh fishery products processing - pelagic, Fresh fishery products processing - salmon/aquaculture. Business #981487575."
F433,Nergård Sørøya As (Mattilsynet #F433),Nergård Sørøya As,Norway,,Breivikbotn,"Strandgata 40, 9593 Breivikbotn, Norway",70.589777,22.282136,10,"Strandgata 40, 9593 Breivikbotn, Norway","FFPP, PP, PP-MA, PP-SA",,,,,976050932,approved,true,documentation_verified,"Mattilsynet approved establishment #F433. Scope: Fresh fishery products processing, Processing plant, Processing plant - marine animal products, PP-SA. Business #976050932."
F440,Nergård Sørøya As (Mattilsynet #F440),Nergård Sørøya As,Norway,,Breivikbotn,"Strandgata 40, 9593 Breivikbotn, Norway",70.589777,22.282136,10,"Strandgata 40, 9593 Breivikbotn, Norway","FFPP, FFPP-P, PP, PP-SA, PP-ST",,,,,976050932,approved,true,documentation_verified,"Mattilsynet approved establishment #F440. Scope: Fresh fishery products processing, Fresh fishery products processing - pelagic, Processing plant, PP-SA, Processing plant - smoked/traditional. Business #976050932."
F443,Embla Båtsfjord As (Mattilsynet #F443),Embla Båtsfjord As,Norway,,Båtsfjord,"Nedre Holmen 18, 9990 Båtsfjord, Norway",70.6328,29.726276,10,"Nedre Holmen 18, 9990 Båtsfjord, Norway",PP-ST,,,,,898292592,approved,true,documentation_verified,Mattilsynet approved establishment #F443. Scope: Processing plant - smoked/traditional. Business #898292592.
F444,Vidar Hansen (Mattilsynet #F444),Vidar Hansen,Norway,,Bugøynes,"Tyttebærveien 8b, 9935 Bugøynes, Norway",69.971307,29.607296,10,"Tyttebærveien 8B, 9935 Bugøynes, Norway",PP-ST,,,,,994128191,approved,true,documentation_verified,Mattilsynet approved establishment #F444. Scope: Processing plant - smoked/traditional. Business #994128191.
F447,Lerøy Norway Seafoods As Avd Sørvær (Mattilsynet #F447),Lerøy Norway Seafoods As Avd Sørvær,Norway,,Sørvær,"Havneveien 13, 9595 Sørvær, Norway",70.6297701,21.9797552,10,"Havneveien 13, 9595 Sørvær, Norway","FFPP, FFPP-P, PP",,,,,988236101,approved,true,documentation_verified,"Mattilsynet approved establishment #F447. Scope: Fresh fishery products processing, Fresh fishery products processing - pelagic, Processing plant. Business #988236101."
F466,Even Einarsen (Mattilsynet #F466),Even Einarsen,Norway,,Varangerbotn,"Mortensnes, 9840 Varangerbotn, Norway",70.1728,28.556,7,"9840 Vestfold, Norway",PP-ST,,,,,998951070,approved,true,documentation_verified,Mattilsynet approved establishment #F466. Scope: Processing plant - smoked/traditional. Business #998951070.
F478,Tom Egil Hansen (Mattilsynet #F478),Tom Egil Hansen,Norway,,Bugøynes,"C/O 4/1/92/3, 9935 Bugøynes, Norway",69.9739,29.6378,7,"9935 Vestfold, Norway",PP-ST,,,,,987578904,approved,true,documentation_verified,Mattilsynet approved establishment #F478. Scope: Processing plant - smoked/traditional. Business #987578904.
F480,Cermaq Finnmark As Avd Lakseslakteri (Mattilsynet #F480),Cermaq Finnmark As Avd Lakseslakteri,Norway,,Alta,"Kvenvikveien 99, 9541 Alta, Norway",69.946891,23.095627,10,"Kvenvikveien 99, 9541 Alta, Norway","FFPP-P, FFPP-SA",,,,,999068723,approved,true,documentation_verified,"Mattilsynet approved establishment #F480. Scope: Fresh fishery products processing - pelagic, Fresh fishery products processing - salmon/aquaculture. Business #999068723."
