approval_no,name,company_name,country,region,city,address,latitude,longitude,geocode_confidence,geocode_formatted,scope,primary_species,email,phone,website,business_no,status,verified,verification_level,admin_notes
M2201,Volt Harvest Ii As (Mattilsynet #M2201),Volt Harvest Ii As,Norway,,Fosnavåg,"Eggesbøvegen 40, 6092 Fosnavåg, Norway",62.3238654,5.654332,10,"Eggesbøvegen 40, 6092 Fosnavåg, Norway","FFPP-S, FFPP-SA",,,,,934855825,approved,true,documentation_verified,"Mattilsynet approved establishment #M2201. Scope: FFPP-S, Fresh fishery products processing - salmon/aquaculture. Business #934855825."
M2203,Volt Harvest I As (Mattilsynet #M2203),Volt Harvest I As,Norway,,Fosnavåg,"Eggesbøvegen 40, 6092 Fosnavåg, Norway",62.3238654,5.654332,10,"Eggesbøvegen 40, 6092 Fosnavåg, Norway","FFPP-S, FFPP-SA",,,,,934855817,approved,true,documentation_verified,"Mattilsynet approved establishment #M2203. Scope: FFPP-S, Fresh fishery products processing - salmon/aquaculture. Business #934855817."
M2227,Boreas Seafood As (Mattilsynet #M2227),Boreas Seafood As,Norway,,Eidsnes,"Kildehaugen 10, 6037 Eidsnes, Norway",62.4306246,6.3537395,10,"Kildehaugen 10, 6037 Eidsnes, Norway",FFPP-P,,,,,928854620,approved,true,documentation_verified,Mattilsynet approved establishment #M2227. Scope: Fresh fishery products processing - pelagic. Business #928854620.
M2229,Volt Harvest Iii As (Mattilsynet #M2229),Volt Harvest Iii As,Norway,,Fosnavåg,"Eggesbøvegen 40, 6092 Fosnavåg, Norway",62.3238654,5.654332,10,"Eggesbøvegen 40, 6092 Fosnavåg, Norway",FFPP-SA,,,,,934855833,approved,true,documentation_verified,Mattilsynet approved establishment #M2229. Scope: Fresh fishery products processing - salmon/aquaculture. Business #934855833.
M2231,Sølvtrans Rederi Ii As (Mattilsynet #M2231),Sølvtrans Rederi Ii As,Norway,,Ålesund,"Skansekaia 4b, 6002 Ålesund, Norway",62.475168,6.1513847,10,"Skansekaia 4B, 6002 Ålesund, Norway",FFPP-SA,,,,,923903046,approved,true,documentation_verified,Mattilsynet approved establishment #M2231. Scope: Fresh fishery products processing - salmon/aquaculture. Business #923903046.
M2235,Gjerde Seafood As (Mattilsynet #M2235),Gjerde Seafood As,Norway,,Kjerstad,"Lausundvegen 112, 6292 Kjerstad, Norway",62.600805,6.222075,10,"Lausundvegen 112, 6292 Kjerstad, Norway","FFPP, PP-C",,,,,832106992,approved,true,documentation_verified,"Mattilsynet approved establishment #M2235. Scope: Fresh fishery products processing, Processing plant - crustacean. Business #832106992."
M2238,Charvest As (Mattilsynet #M2238),Charvest As,Norway,,Eidsnes,"Grøthaugvegen 12, 6037 Eidsnes, Norway",62.427379,6.3030501,10,"Grøthaugvegen 12, 6037 Eidsnes, Norway",FFPP-SA,,,,,922700931,approved,true,documentation_verified,Mattilsynet approved establishment #M2238. Scope: Fresh fishery products processing - salmon/aquaculture. Business #922700931.
M2240,Poseidon Frozen As (Mattilsynet #M2240),Poseidon Frozen As,Norway,,Eidsnes,"Kongshaugstranda 3, 6037 Eidsnes, Norway",62.4303547,6.3527751,10,"Kongshaugstranda 3, 6037 Eidsnes, Norway","FFPP-P, RW",,,,,930502316,approved,true,documentation_verified,"Mattilsynet approved establishment #M2240. Scope: Fresh fishery products processing - pelagic, Rewrapping/relabelling. Business #930502316."
M2241,Fsv Rederi As (Mattilsynet #M2241),Fsv Rederi As,Norway,,Molde,"Øvre Veg 24, 6415 Molde, Norway",62.738524,7.1665992,10,"Øvre veg 24, 6415 Molde, Norway",FFPP-SA,,,,,922064512,approved,true,documentation_verified,Mattilsynet approved establishment #M2241. Scope: Fresh fishery products processing - salmon/aquaculture. Business #922064512.
M2242,Frost Seafood Norge As (Mattilsynet #M2242),Frost Seafood Norge As,Norway,,Moltustranda,"Legemyrane 4, 6076 Moltustranda, Norway",62.2987408,5.6605997,10,"Legemyrane 4, 6076 Moltustranda, Norway",FFPP-P,,,,,931768913,approved,true,documentation_verified,Mattilsynet approved establishment #M2242. Scope: Fresh fishery products processing - pelagic. Business #931768913.
