approval_no,plant_name,company,address,town_region,country,scope,expiry_date,business_no
N555,Røst Sjømat As,Røst Sjømat As,"Tyvsøyveien 1, 8064.0 Røst, Norway",Røst,Norway,"FFPP, FFPP-P, PP, PP-SA, PP-ST",,978692370.0
N556,Glea As,Glea As,"Glea, 8064.0 Røst, Norway",Røst,Norway,"FFPP, FFPP-P, PP, PP-SA, PP-ST",,973213148.0
N559,Røst Fiskeindustri As,Røst Fiskeindustri As,"Tyvsøy, 8064.0 Røst, Norway",Røst,Norway,"FFPP, FFPP-P, PP, PP-SA, PP-ST",,972320846.0
N560,Røst Trandamperi As,Røst Trandamperi As,"Gleaveien 6, 8064.0 Røst, Norway",Røst,Norway,PP-MA,,981180437.0
N566,John Greger As,John Greger As,"Tyvsøyveien 15, 8064.0 Røst, Norway",Røst,Norway,"FFPP, FFPP-P, PP, PP-SA, PP-ST",,871801622.0
N570,A Johansen As,A Johansen As,"Gleaveien 9, 8064.0 Røst, Norway",Røst,Norway,"FFPP, FFPP-P, PP, PP-SA, PP-ST",,974110555.0
N575,Jangaard Export As Avd Røst,Jangaard Export As Avd Røst,"Gleaveien 12, 8064.0 Røst, Norway",Røst,Norway,"FFPP, FFPP-P, PP-SA",,990127670.0
N581,Saga Fisk As,Saga Fisk As,"H. Chr. Størmers Gate 22, 8300.0 Svolvær, Norway",Svolvær,Norway,"FFPP, PP-ST",,996723526.0
N624,Saga Fisk As,Saga Fisk As,"Sauøya 1, 8312.0 Henningsvær, Norway",Henningsvær,Norway,"FFPP, FFPP-P, PP, PP-SA, PP-ST",,996723526.0
N630,Bernhard Martin Bloch,Bernhard Martin Bloch,"Postboks 117, 8151.0 Ørnes, Norway",Ørnes,Norway,PP-ST,,nan
N631,Jangaard Export As Henningsvær,Jangaard Export As Henningsvær,"nan, 8312.0 Henningsvær, Norway",Henningsvær,Norway,"FFPP, PP-SA, PP-ST",,973118692.0
N645,Hopen Fisk As,Hopen Fisk As,"Hopsveien 42, 8310.0 Kabelvåg, Norway",Kabelvåg,Norway,"FFPP, FFPP-P, PP, PP-SA, PP-ST",,975792455.0
N680,Bergs Fisk As,Bergs Fisk As,"Bernt Salvesens Vei 31, 8300.0 Svolvær, Norway",Svolvær,Norway,PP,,929729323.0
