approval_no,plant_name,company,address,town_region,country,scope,expiry_date,business_no
NT817,Namdal Seafood As,Namdal Seafood As,"Skorstadvegen 558, 7819.0 Fosslandsosen, Norway",Fosslandsosen,Norway,"FFPP, FFPP-P, FFPP-S",,919072415.0
O57,Ph Thorstensen As,Ph Thorstensen As,"Akershusstranda 23, 150.0 Oslo, Norway",Oslo,Norway,"FFPP-P, PP-C, PP-M",,971781505.0
O70,Lerøy Norge As Avd Laks&Vilt Oslo,Lerøy Norge As Avd Laks&Vilt Oslo,"Stanseveien 33, 976.0 Oslo, Norway",Oslo,Norway,"FFPP, FFPP-P, PP, PP-C, PP-SA, RW",,971725044.0
O98,Orkla Health As  Avd Peter Møller,Orkla Health As  Avd Peter Møller,"Peter Møllers Vei 13, 585.0 Oslo, Norway",Oslo,Norway,PP-MA,,973062255.0
O107,Lofotprodukt Oslo Produksjon As,Lofotprodukt Oslo Produksjon As,"Akerhusstranda 1, 150.0 Oslo, Norway",Oslo,Norway,"FFPP, FFPP-P, PP, PP-C, RW",,971687282.0
O109,Sjømathuset As Avd Produksjon Oslo,Sjømathuset As Avd Produksjon Oslo,"Sven Oftedalsvei 10, 950.0 Oslo, Norway",Oslo,Norway,"FFPP, FFPP-P, PP, PP-C, PP-SA, RW",,986518533.0
O209,Sjømat As,Sjømat As,"Akershusstranda 23, 150.0 Oslo, Norway",Oslo,Norway,"FFPP, FFPP-P, PP",,982756510.0
O264,Ambo Europe As,Ambo Europe As,"Vestjordet 14, 1361.0 Østerås, Norway",Østerås,Norway,PP-MA,,890062512.0
O269,Fredriks Røkeri As,Fredriks Røkeri As,"Akershusstranda 23, 150.0 Oslo, Norway",Oslo,Norway,PP,,921346387.0
O270,Vippetangen Fisk & Kolonial As,Vippetangen Fisk & Kolonial As,"Akershusstranda 23, 150.0 Oslo, Norway",Oslo,Norway,RW,,920702880.0
O273,Umami Lab Oslo As,Umami Lab Oslo As,"Akershusstranda 23, 150.0 Oslo, Norway",Oslo,Norway,PP,,932829762.0
OP213,Smakfullt Storkjøkken As,Smakfullt Storkjøkken As,"Damsletta 7, 2827.0 Hunndalen, Norway",Hunndalen,Norway,"FFPP, FFPP-P, MSM, PP, PP-C, PP-KL, PP-M, PP-SA, PP-ST, RW",,992278528.0
OP214,Zymtech Life Science As,Zymtech Life Science As,"Jakup B. Klukstads Veg 16, 2665.0 Lesja, Norway",Lesja,Norway,PP-MA,,920670261.0
R12,Seagarden As Avd Avaldsnes,Seagarden As Avd Avaldsnes,"Husøyvegen 278, 4262.0 Avaldsnes, Norway",Avaldsnes,Norway,PP-MA,,977253179.0
R13,Pelagia Karmsund Fiskemel,Pelagia Karmsund Fiskemel,"Husøyvegen 283, 4262.0 Avaldsnes, Norway",Avaldsnes,Norway,FFPP,,971654945.0
R16,Mowi Nutrition Hjelmeland,Mowi Nutrition Hjelmeland,"Hundsnesveien 151, 4130.0 Hjelmeland, Norway",Hjelmeland,Norway,"FFPP-P, PP-MA",,973519034.0
R40,Fonn Egersund As,Fonn Egersund As,"Kleivastø 15, 5538.0 Haugesund, Norway",Haugesund,Norway,FFPP,,974100290.0
R51,Domstein Sjømat As Avd Stavanger,Domstein Sjømat As Avd Stavanger,"Tangen 6, 4072.0 Randaberg, Norway",Randaberg,Norway,"FFPP, FFPP-P, PP-C, RW",,875969692.0
R57,K-Fisk As,K-Fisk As,"Sveholmvegen 10, 4275.0 Sævelandsvik, Norway",Sævelandsvik,Norway,"FFPP, FFPP-P, PP-C",,984673981.0
R63,Yrkje Fiskemottak As,Yrkje Fiskemottak As,"Yrkje, 5567.0 Skjoldastraumen, Norway",Skjoldastraumen,Norway,FFPP,,973314416.0
R68,Sildakongen Produksjon As,Sildakongen Produksjon As,"Husøyvegen 163c, 4262.0 Avaldsnes, Norway",Avaldsnes,Norway,PP,,972149608.0
R79,Pelagia Karmøy,Pelagia Karmøy,"Husøyvegen 265, 4262.0 Avaldsnes, Norway",Avaldsnes,Norway,"FFPP, FFPP-P",,972173487.0
R87,Karmsund Næringsmiddelbygg As,Karmsund Næringsmiddelbygg As,"Husøyvegen 228, 4262.0 Avaldsnes, Norway",Avaldsnes,Norway,"FFPP, FFPP-P, PP, PP-C",,987057998.0
R88,Skude Fryseri As,Skude Fryseri As,"Kaigata 102, 4280.0 Skudeneshavn, Norway",Skudeneshavn,Norway,"FFPP, PP, PP-C",,971768762.0
R92,Rennesøy Reker As,Rennesøy Reker As,"Daleveien 47, 4150.0 Rennesøy, Norway",Rennesøy,Norway,FFPP,,979192479.0
R98,Mikals Laks As,Mikals Laks As,"Jøsnesvegen 142, 4146.0 Skiftun, Norway",Skiftun,Norway,PP,,982037859.0
R106,"Grieg Seafood Rogaland As, Avd Erfjord Stamfisk","Grieg Seafood Rogaland As, Avd Erfjord Stamfisk","Kilavågen, 4233.0 Erfjord, Norway",Erfjord,Norway,"FFPP, FFPP-SA",,972117269.0
R107,Rennesøy Fisk Og Skalldyr Mottak,Rennesøy Fisk Og Skalldyr Mottak,"V/Tor Bernhard Harestad, 4158.0 Bru, Norway",Bru,Norway,FFPP,,978001092.0
R110,Mowi Avd Ryfisk,Mowi Avd Ryfisk,"Hundsnesvegen 151, 4130.0 Hjelmeland, Norway",Hjelmeland,Norway,"FFPP-P, FFPP-SA",,972347256.0
R111,Sterling Processing As,Sterling Processing As,"Mekjarvik 20, 4072.0 Randaberg, Norway",Randaberg,Norway,"FFPP-P, PP",,927492938.0
R114,Grieg Seafood Rogaland As Avd Stjernelaks,Grieg Seafood Rogaland As Avd Stjernelaks,"Sjernarøyvegen 22, 4170.0 Sjernarøy, Norway",Sjernarøy,Norway,FFPP-SA,,972079561.0
R129,Sirevaag As,Sirevaag As,"Vågen 42, 4364.0 Sirevåg, Norway",Sirevåg,Norway,"FFPP, FFPP-P, PP",,974102374.0
R131,Pelagia Sirevåg,Pelagia Sirevåg,"Oddane 2, 4364.0 Sirevåg, Norway",Sirevåg,Norway,"FFPP, FFPP-P, PP",,972291005.0
R141,Fonn Egersund As,Fonn Egersund As,"Lindøyveien 92, 4373.0 Egersund, Norway",Egersund,Norway,"FFPP, FFPP-P, PP, PP-C, PP-SA",,974100290.0
R146,Løining As,Løining As,"Skadberg, 4370.0 Egersund, Norway",Egersund,Norway,"FFPP-P, PP",,974102560.0
R150,Pelagia Egersund Seafood,Pelagia Egersund Seafood,"Kaupanes, 4374.0 Egersund, Norway",Egersund,Norway,"FFPP, FFPP-P, PP",,972323888.0
R205,Grilstad As Avd Stavanger,Grilstad As Avd Stavanger,"Slettestrandveien 15, 4032.0 Stavanger, Norway",Stavanger,Norway,PP,,874166502.0
R210,Fjordkjøkken As,Fjordkjøkken As,"Djuphodl 2, 4360.0 Varhaug, Norway",Varhaug,Norway,"FFPP-P, PP",,976509331.0
R214,Lerøy Norge As Avd Stavanger,Lerøy Norge As Avd Stavanger,"Varabergmyra 2, 4050.0 Sola, Norway",Sola,Norway,"FFPP-P, PP, RW",,982687004.0
R808,Aquazyme Technology As,Aquazyme Technology As,"Iris, Professor Olav Hanssens Vei 15,, 4021.0 Stavanger, Norway",Stavanger,Norway,PP-MA,,989603841.0
R941,Sterling White Halibut As Avd Hjelmeland,Sterling White Halibut As Avd Hjelmeland,"Svadbergvegen 41, 4137.0 Årdal I Ryfylke, Norway",Årdal I Ryfylke,Norway,FFPP-S,,983424732.0
R945,Hoa Nhu,Hoa Nhu,"Skasvegen 160 (V/Driftsbygning, 4354.0 Voll, Norway",Voll,Norway,"PP, PP-MA",,918911855.0
R946,Prima Protein As,Prima Protein As,"Hovlandsveien 64, 4374.0 Egersund, Norway",Egersund,Norway,"FFPP, PP-MA",,918842063.0
R947,Prima Seafood As,Prima Seafood As,"Lindøyveien 92, 4373.0 Egersund, Norway",Egersund,Norway,"FFPP, FFPP-P, PP",,922018979.0
R950,Bokn Sjømat As,Bokn Sjømat As,"Jøsenvågen 44, 5561.0 Bokn, Norway",Bokn,Norway,"FFPP, FFPP-P, PP-C",,924386320.0
R953,Storøy Tankservice As Avd Kopervik,Storøy Tankservice As Avd Kopervik,"Kaien 11, 4250.0 Kopervik, Norway",Kopervik,Norway,"FFPP-S, FFPP-SA",,996273032.0
R956,Norwegian King Prawns Farming As,Norwegian King Prawns Farming As,"Vågen 42, 4364.0 Sirevåg, Norway",Sirevåg,Norway,FFPP-S,,932822679.0
R958,Norwegian King Prawns As,Norwegian King Prawns As,"Vågen 42, 4364.0 Sirevåg, Norway",Sirevåg,Norway,FFPP-S,,919272848.0
R960,Karmsund Maritime Kvitsøy As,Karmsund Maritime Kvitsøy As,"nan, 4180.0 Kvitsøy, Norway",Kvitsøy,Norway,"FFPP, FFPP-P, PP-C",,999292666.0
R962,Ombo Fisk As,Ombo Fisk As,"Austre Ombovegen 275, 4187.0 Ombo, Norway",Ombo,Norway,FFPP,,930355178.0
R972,Vikingkrabben As,Vikingkrabben As,"Årabrotholmen 13, 4270.0 Åkrehamn, Norway",Åkrehamn,Norway,"FFPP, FFPP-P, PP-C, RW",,931751352.0
R973,Karmsund Protein As,Karmsund Protein As,"Husøyvegen 141, 4262.0 Avaldsnes, Norway",Avaldsnes,Norway,PP-MA,,916782039.0
SF62,P Stave As,P Stave As,"Postboks 24, 6750.0 Stadlandet, Norway",Stadlandet,Norway,"FFPP, FFPP-P, PP, PP-KL, PP-ST",,829350602.0
SF72,Pelagia Selje,Pelagia Selje,"Seljevegen 2815, 6740.0 Selje, Norway",Selje,Norway,"FFPP, FFPP-P",,971935545.0
SF98,Snorre Seafood As,Snorre Seafood As,"Nedrevegen 158, 6710.0 Raudeberg, Norway",Raudeberg,Norway,"FFPP, FFPP-P, PP, PP-SA",,979542496.0
SF104,Pelagia Måløy,Pelagia Måløy,"Ulvesundvegen 85, 6718.0 Deknepollen, Norway",Deknepollen,Norway,"FFPP, FFPP-P, PP",,972231606.0
SF122,Maaløy Seafood As,Maaløy Seafood As,"nan, 6701.0 Måløy, Norway",Måløy,Norway,"FFPP, FFPP-P",,973167510.0
SF189,Pelagia Kalvåg,Pelagia Kalvåg,"Kalvøyna 10, 6729.0 Kalvåg, Norway",Kalvåg,Norway,"FFPP, FFPP-P, PP, PP-SA",,971953357.0
SF200,Sognefjord Naturkjøkken Drift As,Sognefjord Naturkjøkken Drift As,"Skjær, Sogndal, 6879.0 Solvorn, Norway",Solvorn,Norway,"FFPP, FFPP-P, PP, PP-C, PP-ST",,926451944.0
SF222,Slakteriet As,Slakteriet As,"Hamregt 1, 6900.0 Florø, Norway",Florø,Norway,"FFPP-P, FFPP-SA, PP",,971688661.0
SF225,Global Florø As,Global Florø As,"Kyllervegen 4, 6906.0 Florø, Norway",Florø,Norway,"FFPP, FFPP-P, PP",,911761785.0
SF244,Byrknes Servicesenter As,Byrknes Servicesenter As,"Byrknesøy, 5970.0 Byrknesøy, Norway",Byrknesøy,Norway,FFPP,,993488704.0
SF320,Lerøy Bulandet As,Lerøy Bulandet As,"Hellersøyvegen 88, 6987.0 Bulandet, Norway",Bulandet,Norway,"FFPP, FFPP-P, PP",,971866802.0
SF364,Martin E Birknes Eftf As,Martin E Birknes Eftf As,"Kalvøyna 75, 5970.0 Byrknesøy, Norway",Byrknesøy,Norway,"FFPP-P, FFPP-S, FFPP-SA, PP",,971666323.0
SF371,Slakteriet Brekke As,Slakteriet Brekke As,"Sognefjordvegen 47, 5961.0 Brekke, Norway",Brekke,Norway,"FFPP-P, FFPP-S, FFPP-SA",,979653514.0
SF400,Firda Sjøfarmer As Avd Firda Savior,Firda Sjøfarmer As Avd Firda Savior,"Kalvøyna 75, 5970.0 Byrknesøy, Norway",Byrknesøy,Norway,FFPP-SA,,919558229.0
SF813,Jølsterlia Finn Årdal,Jølsterlia Finn Årdal,"nan, 6843.0 Skei I Jølster, Norway",Skei I Jølster,Norway,"FFPP, FFPP-P, PP",,973298739.0
SF868,Svanøy Røykeri As,Svanøy Røykeri As,"nan, 6914.0 Svanøybukt, Norway",Svanøybukt,Norway,PP,,972308323.0
SF917,Ervik Seafood Avd Måløy,Ervik Seafood Avd Måløy,"Øyna 41, 6700.0 Måløy, Norway",Måløy,Norway,"FFPP-P, PP-SA",,921018673.0
SF920,Bulandet Fiskemottak As,Bulandet Fiskemottak As,"Nikøy, 6987.0 Bulandet, Norway",Bulandet,Norway,FFPP,,819907722.0
SF925,Sjøprodukt As,Sjøprodukt As,"Kalvøyna 8, 6729.0 Kalvåg, Norway",Kalvåg,Norway,FFPP-SA,,920424201.0
SF926,Pelagia Måløy Health,Pelagia Måløy Health,"nan, 6718.0 Deknepollen, Norway",Deknepollen,Norway,PP-MA,,923447768.0
ST72,Vågen Aqua As,Vågen Aqua As,"Einarsdal Havn 11, 7194.0 Brandsfjord, Norway",Brandsfjord,Norway,FFPP,,982640970.0
ST106,Kråkøy Slakteri As,Kråkøy Slakteri As,"Kråkøyveien 59, 7180.0 Roan, Norway",Roan,Norway,"FFPP-P, FFPP-S, FFPP-SA",,985885540.0
ST112,Norgeskjell As Avd Åfjord,Norgeskjell As Avd Åfjord,"Austdalsveien 258, 7170.0 Åfjord, Norway",Åfjord,Norway,FFPP,,972114979.0
ST131,Grøntvedt Pelagic As Avd Uthaug,Grøntvedt Pelagic As Avd Uthaug,"Havneveien 1, 7142.0 Uthaug, Norway",Uthaug,Norway,"FFPP, FFPP-P, PP",,974158930.0
ST135,Fosenskalldyr As,Fosenskalldyr As,"Nordnesveien 39, 7167.0 Vallersund, Norway",Vallersund,Norway,"FFPP, FFPP-P, PP, PP-C, PP-M",,971818107.0
ST137,Coop Vallersund Sa,Coop Vallersund Sa,"nan, 7167.0 Vallersund, Norway",Vallersund,Norway,FFPP,,971787244.0
ST145,Uthaug Fisk As,Uthaug Fisk As,"Havneveien, 7142.0 Uthaug, Norway",Uthaug,Norway,FFPP,,989624350.0
ST150,Grande Sjømat As,Grande Sjømat As,"Havneveien 55, 7142.0 Uthaug, Norway",Uthaug,Norway,"FFPP, FFPP-P, FFPP-S, FFPP-SA, PP",,972109290.0
ST151,Grøntvedt Pelagic As Avd Kråkvåg,Grøntvedt Pelagic As Avd Kråkvåg,"Kråkvåg, 7152.0 Kråkvåg, Norway",Kråkvåg,Norway,PP,,972377481.0
ST158,Norgeskjell As Avd Rissa,Norgeskjell As Avd Rissa,"Kvithyllveien 199, 7100.0 Rissa, Norway",Rissa,Norway,FFPP,,972114669.0
ST203,Jan Inge Standahl,Jan Inge Standahl,"Vardesvingen 13, 7165.0 Oksvoll, Norway",Oksvoll,Norway,FFPP,,978375626.0
ST204,Isfjord Norway As,Isfjord Norway As,"Grønørveien 30, 7300.0 Orkanger, Norway",Orkanger,Norway,"FFPP-P, PP",,981662180.0
ST223,Matpartner As,Matpartner As,"Hofstadveien 89, 7224.0 Melhus, Norway",Melhus,Norway,FFPP-P,,978678572.0
ST245,Magnus Engzelius,Magnus Engzelius,"Pinstiveien 95, 7375.0 Røros, Norway",Røros,Norway,PP,,985238189.0
ST309,Lerøy Midt As,Lerøy Midt As,"Hestvikveien 263, 7247.0 Hestvika, Norway",Hestvika,Norway,"FFPP-P, PP",,976852664.0
ST334,Fisken Ko As,Fisken Ko As,"Kjerringvågveien 43, 7252.0 Dolmøy, Norway",Dolmøy,Norway,"FFPP, FFPP-P, PP, PP-KL, PP-SA",,919485280.0
ST337,Lerøy Midt As,Lerøy Midt As,"Industriparkveien 31, 7246.0 Sandstad, Norway",Sandstad,Norway,"FFPP-P, FFPP-SA",,976852664.0
ST343,Hitramat As,Hitramat As,"Knarrlagsundveien 325, 7241.0 Ansnes, Norway",Ansnes,Norway,"FFPP, FFPP-P, MSM, PP, PP-C, PP-M",,974079682.0
ST400,Mowi Avd Jøsnøya,Mowi Avd Jøsnøya,"Industriparkveien 41, 7246.0 Sandstad, Norway",Sandstad,Norway,"FFPP-P, FFPP-SA",,932401231.0
ST423,Salmar As,Salmar As,"Industriveien 51, 7266.0 Kverva, Norway",Kverva,Norway,"FFPP-P, FFPP-SA, PP",,971744502.0
ST460,Seashell As,Seashell As,"Strandaveien 25, 7273.0 Norddyrøy, Norway",Norddyrøy,Norway,FFPP,,979628536.0
ST462,Frøya Fryseri As,Frøya Fryseri As,"Frøya Næringspark, 7270.0 Dyrvik, Norway",Dyrvik,Norway,PP,,986501851.0
ST479,Mausund Fiskemottak As,Mausund Fiskemottak As,"nan, 7284.0 Mausund, Norway",Mausund,Norway,FFPP,,976964071.0
ST490,Froan Forretningsdrift As,Froan Forretningsdrift As,"nan, 7286.0 Sørburøy, Norway",Sørburøy,Norway,FFPP,,872238182.0
ST845,Ila Fiskemottak As,Ila Fiskemottak As,"Nedre Ila 68, 7018.0 Trondheim, Norway",Trondheim,Norway,FFPP,,995836602.0
ST860,Domstein Sjømat As Avd Trondheim,Domstein Sjømat As Avd Trondheim,"Trondheim Havn - Pir 1. Nr.7, 7010.0 Trondheim, Norway",Trondheim,Norway,"FFPP-P, PP",,980513475.0
ST861,Garnvik As,Garnvik As,"Leirvikveien 276, 7273.0 Norddyrøy, Norway",Norddyrøy,Norway,"FFPP-P, PP, PP-ST",,913143361.0
ST862,Stensaas Reinsdyrslakteri As,Stensaas Reinsdyrslakteri As,"Feragsveien 11, 7375.0 Røros, Norway",Røros,Norway,PP,,971773510.0
ST874,Vågen Aqua As,Vågen Aqua As,"Peter Hepsøs Vei 89, 7740.0 Steinsdalen, Norway",Steinsdalen,Norway,FFPP,,982640970.0
ST875,Vatn Fisk As,Vatn Fisk As,"Værnesveien 453, 7318.0 Agdenes, Norway",Agdenes,Norway,FFPP,,912398986.0
ST875,Vatn Fisk As,Vatn Fisk As,"Hegg, 7318.0 Agdenes, Norway",Agdenes,Norway,"FFPP, FFPP-P, PP",,912398986.0
ST877,Statsnail As,Statsnail As,"Steinvikveien 75, 7165.0 Oksvoll, Norway",Oksvoll,Norway,FFPP,,915148522.0
T52,Mowi   Avd Jøkelfjord,Mowi   Avd Jøkelfjord,"Mowi Norway T-52 Slakteri, 9163.0 Jøkelfjord, Norway",Jøkelfjord,Norway,"FFPP-P, FFPP-SA",,913715268.0
T63,Karls Fisk & Skalldyr As,Karls Fisk & Skalldyr As,"nan, 9161.0 Burfjord, Norway",Burfjord,Norway,FFPP,,985811008.0
T82,Skjervøy Fisk Og Skalldyr As,Skjervøy Fisk Og Skalldyr As,"Havnegata 38, 9180.0 Skjervøy, Norway",Skjervøy,Norway,"FFPP, FFPP-P, PP, PP-KL, PP-SA",,913280024.0
T105,Årvikbruket As,Årvikbruket As,"Årviksand, 9195.0 Årviksand, Norway",Årviksand,Norway,"FFPP, FFPP-P, PP, PP-SA, PP-ST",,974120909.0
T107,Arnøy Laks Slakteri As,Arnøy Laks Slakteri As,"Lauksundveien 139, 9194.0 Lauksletta, Norway",Lauksletta,Norway,"FFPP-P, FFPP-SA",,995376911.0
T119,Johs H Giæver As Avd Havnnes,Johs H Giæver As Avd Havnnes,"Postboks 1, 9159.0 Havnnes, Norway",Havnnes,Norway,"FFPP, FFPP-P, PP, PP-SA, PP-ST",,973067427.0
T125,Karls Fisk & Skalldyr As,Karls Fisk & Skalldyr As,"nan, 9144.0 Samuelsberg, Norway",Samuelsberg,Norway,FFPP,,985811008.0
T126,Lerøy Aurora As Avd Skjervøy,Lerøy Aurora As Avd Skjervøy,"Strandveien 4, 9180.0 Skjervøy, Norway",Skjervøy,Norway,"FFPP-P, FFPP-SA",,991285660.0
T127,Karls Fisk & Skalldyr As,Karls Fisk & Skalldyr As,"Tønsvikvegen 518, 9023.0 Krokelvdalen, Norway",Krokelvdalen,Norway,FFPP,,985811008.0
T155,Torsvågbruket As,Torsvågbruket As,"nan, 9136.0 Vannareid, Norway",Vannareid,Norway,"FFPP, FFPP-P, PP-KL, PP-SA, PP-ST",,973003070.0
T160,Volda Living As,Volda Living As,"Fishy Exports Kaspersen, 9136.0 Vannareid, Norway",Vannareid,Norway,"FFPP, FFPP-P",,996843165.0
T165,Reinøy Sjømat As,Reinøy Sjømat As,"Stakkvik, 9132.0 Stakkvik, Norway",Stakkvik,Norway,"FFPP, FFPP-P, PP, PP-KL, PP-ST",,985719780.0
T181,Jensen Fisk As,Jensen Fisk As,"Resset 4, 9303.0 Silsand, Norway",Silsand,Norway,PP-ST,,976469143.0
T184,Lyngen Reker As,Lyngen Reker As,"Lenangsøra, 9064.0 Svensby, Norway",Svensby,Norway,"FFPP, PP, PP-C",,992131950.0
T210,Nordic Pharma Inc As Avd Tromsø,Nordic Pharma Inc As Avd Tromsø,"Ropnesveien 71, 9107.0 Kvaløya, Norway",Kvaløya,Norway,PP-MA,,992527137.0
T212,Pelagia Tromsø,Pelagia Tromsø,"Solstrandanlegget Kaldslett, 9020.0 Tromsdalen, Norway",Tromsdalen,Norway,"FFPP, FFPP-P, PP",,975357732.0
T220,Nofima As Avd Biotep,Nofima As Avd Biotep,"Ropnesvegen 71, 9107.0 Kvaløya, Norway",Kvaløya,Norway,PP-MA,,833599992.0
T221,Oldervik Fiskeindustri As,Oldervik Fiskeindustri As,"Oldervikvegen 516, 9034.0 Oldervik, Norway",Oldervik,Norway,"FFPP, FFPP-P, PP-SA, PP-ST",,987674032.0
T222,Dragøy Grossist As,Dragøy Grossist As,"Huldervegen 18, 9016.0 Tromsø, Norway",Tromsø,Norway,"FFPP, FFPP-P, PP, PP-C",,918486879.0
T226,Arcticzymes Technologies Asa,Arcticzymes Technologies Asa,"Strandgt 3, 9008.0 Tromsø, Norway",Tromsø,Norway,PP-MA,,874864412.0
T247,Aqua Drift As,Aqua Drift As,"Vengsøya 162, 9120.0 Vengsøy, Norway",Vengsøy,Norway,"FFPP, FFPP-P, PP-SA, PP-ST",,987630612.0
T251,Joh H Pettersen As,Joh H Pettersen As,"Kvaløyvågvegen 1422, 9103.0 Kvaløya, Norway",Kvaløya,Norway,"FFPP, FFPP-P, PP-SA, PP-ST",,974136384.0
T258,Lerøy Norway Seafoods As  Avd Tromvik,Lerøy Norway Seafoods As  Avd Tromvik,"Tromtindvegen 322, 9107.0 Kvaløya, Norway",Kvaløya,Norway,"FFPP, FFPP-P, PP, PP-KL, PP-SA",,971796014.0
T270,Lorentzen Fisk As,Lorentzen Fisk As,"Klubbvegen 15, 9118.0 Brensholmen, Norway",Brensholmen,Norway,"FFPP, FFPP-P, PP, PP-C, PP-SA, PP-ST",,973510223.0
T273,Brødrene Sperre As Avd Sommarøy,Brødrene Sperre As Avd Sommarøy,"Hamnevegen 17, 9110.0 Sommarøy, Norway",Sommarøy,Norway,"FFPP, FFPP-P, PP",,934940245.0
T299,Stella Polaris As,Stella Polaris As,"Kårvikveien 306, 9307.0 Finnsnes, Norway",Finnsnes,Norway,"FFPP, PP-C, PP-MA",,871830312.0
T308,Brødrene Karlsen Senja,Brødrene Karlsen Senja,"Husøy, 9389.0 Husøy I Senja, Norway",Husøy I Senja,Norway,"FFPP, FFPP-P, PP, PP-MA, PP-SA, PP-ST",,973134868.0
T314,Nergård Sild As,Nergård Sild As,"Senjahopen, 9386.0 Senjahopen, Norway",Senjahopen,Norway,"FFPP, FFPP-P, PP",,984781741.0
T315,Nord Senja Fisk As,Nord Senja Fisk As,"Botnhamnveien 787, 9373.0 Botnhamn, Norway",Botnhamn,Norway,"FFPP, PP, PP-KL, PP-SA",,995724081.0
T316,Nergård Fisk Senjahopen,Nergård Fisk Senjahopen,"Mefjordveien 1537, 9386.0 Senjahopen, Norway",Senjahopen,Norway,"FFPP, FFPP-P, PP, PP-KL, PP-MA, PP-SA",,971696176.0
T317,Coldwater Prawns Production As,Coldwater Prawns Production As,"Mefjordveien 1529, 9386.0 Senjahopen, Norway",Senjahopen,Norway,"FFPP, PP-C",,985094349.0
T353,Nergård Fisk Gryllefjord,Nergård Fisk Gryllefjord,"nan, 9380.0 Gryllefjord, Norway",Gryllefjord,Norway,"FFPP, FFPP-P, PP",,996842991.0
T359,Wilsgård Fiskeoppdrett As,Wilsgård Fiskeoppdrett As,"Værnesveien 105, 9381.0 Torsken, Norway",Torsken,Norway,"FFPP-P, FFPP-SA",,972002623.0
T369,Nergård Fisk Grunnfarnes,Nergård Fisk Grunnfarnes,"Grunnfarnes, 9395.0 Kaldfarnes, Norway",Kaldfarnes,Norway,"FFPP, FFPP-P, PP, PP-SA, PP-ST",,979277504.0
T380,Flakstadvåg Laks As Avd Kaldfarnes,Flakstadvåg Laks As Avd Kaldfarnes,"nan, 9395.0 Kaldfarnes, Norway",Kaldfarnes,Norway,"FFPP-P, FFPP-SA",,973633716.0
T398,Art Nor As,Art Nor As,"Naustveien 17, 9303.0 Silsand, Norway",Silsand,Norway,PP,,974497751.0
T400,Salaks Slakteri As,Salaks Slakteri As,"Lavangsnesveien 793, 9350.0 Sjøvegan, Norway",Sjøvegan,Norway,"FFPP-P, FFPP-SA",,997721322.0
T436,Breivoll Marine Produkter As,Breivoll Marine Produkter As,"Breivollveien 12, 9450.0 Hamnvik, Norway",Hamnvik,Norway,"FFPP-P, FFPP-SA",,972330965.0
T468,Nordlaks Oppdrett As,Nordlaks Oppdrett As,"Avd. Gullesfjord, 8455.0 Stokmarknes, Norway",Stokmarknes,Norway,FFPP,,980183130.0
T470,Astafjord Slakteri As,Astafjord Slakteri As,"Kystkulturveien 1747, 9470.0 Gratangen, Norway",Gratangen,Norway,"FFPP-P, FFPP-SA",,981140818.0
T602,Tromsø Fiskemat As,Tromsø Fiskemat As,"Postboks 3366, 9276.0 Tromsø, Norway",Tromsø,Norway,"FFPP-P, PP, RW",,972258148.0
T823,Straumvang As,Straumvang As,"V/ Arnt K. Simonsen, 9455.0 Engenes, Norway",Engenes,Norway,FFPP-P,,978364888.0
T1065,Johansen Jan Ivar,Johansen Jan Ivar,"Ibestadveien 917, 9453.0 Kråkrøhamn, Norway",Kråkrøhamn,Norway,PP-ST,,978562086.0
T1068,Jarle Kiil,Jarle Kiil,"Slottet, 9153.0 Rotsund, Norway",Rotsund,Norway,"FFPP, FFPP-P, PP, PP-SA, PP-ST",,874063762.0
T1073,Eide Handel As,Eide Handel As,"Eidkjosen, 9100.0 Kvaløysletta, Norway",Kvaløysletta,Norway,"FFPP, FFPP-P, PP",,971957816.0
T1078,Seagarden As   Avd Senjahopen,Seagarden As   Avd Senjahopen,"Mefjordveien 1537, 9386.0 Senjahopen, Norway",Senjahopen,Norway,PP-MA,,989584758.0
T1079,Karls Fisk & Skalldyr As,Karls Fisk & Skalldyr As,"Oldervikveien 451, 9034.0 Oldervik, Norway",Oldervik,Norway,"FFPP, FFPP-P, PP, PP-ST",,985811008.0
T1080,Halvors Tradisjonsfisk As,Halvors Tradisjonsfisk As,"Håndverkerveien 7b, 9018.0 Tromsø, Norway",Tromsø,Norway,PP,,982494060.0
T1081,Havbruksstasjonen I Tromsø As,Havbruksstasjonen I Tromsø As,"nan, 9131.0 Kårvik, Norway",Kårvik,Norway,"FFPP, FFPP-P",,980913147.0
T1094,Karlsøybruket As,Karlsøybruket As,"Vannavalen, 9135.0 Vannvåg, Norway",Vannvåg,Norway,"FFPP, FFPP-P, PP-KL, PP-MA, PP-SA, PP-ST",,993376299.0
T1095,Karlsøybruket As,Karlsøybruket As,"nan, 9135.0 Vannvåg, Norway",Vannvåg,Norway,"FFPP, PP, PP-SA",,993376299.0
T1100,Servicenord Engros As,Servicenord Engros As,"Stangnesterminalen 2f, 9409.0 Harstad, Norway",Harstad,Norway,FFPP-P,,971880473.0
T1107,Torfinn Hansen,Torfinn Hansen,"Smørsgård, 9310.0 Sørreisa, Norway",Sørreisa,Norway,PP-ST,,nan
T1108,Lars Olai Johansen,Lars Olai Johansen,"Gloen 86, 9446.0 Grovfjord, Norway",Grovfjord,Norway,PP-ST,,nan
