factory,company,location,website,species,capacity,certifications,byproduct,confidence_species,confidence_capacity,confidence_certifications,confidence_byproduct,evidence_urls,notes,cfia_ref
Trident Seafoods - Anacortes Facility,Trident Seafoods,"1400 4th St, Anacortes, Washington 98221, USA",https://www.tridentseafoods.com/,"Salmon, Crab, Cod",Unknown,Unknown,Unknown,HIGH,LOW,LOW,LOW,https://www.tridentseafoods.com | https://www.tridentseafoods.com/products | https://www.tridentseafoods.com/product | https://www.tridentseafoods.com/our-products | https://www.tridentseafoods.com/certifications | https://www.tridentseafoods.com/certification,Verified from website text extraction,
Trident Seafoods - Akutan Plant,Trident Seafoods,"73 Trident Way, PO Box 9, Akutan, Alaska 99553, USA",https://www.tridentseafoods.com/,"Salmon, Crab, Cod",Unknown,Unknown,Unknown,HIGH,LOW,LOW,LOW,https://www.tridentseafoods.com | https://www.tridentseafoods.com/products | https://www.tridentseafoods.com/product | https://www.tridentseafoods.com/our-products | https://www.tridentseafoods.com/certifications | https://www.tridentseafoods.com/certification,Verified from website text extraction,
Bumble Bee Seafoods - Santa Fe Springs,The Bumble Bee Seafood Company,"13100 Arctic Circle, Santa Fe Springs, California 90670-5508, USA",https://thebumblebeecompany.com/,Tuna,Unknown,Unknown,Unknown,HIGH,LOW,LOW,LOW,https://thebumblebeecompany.com,Verified from website text extraction,
Silver Bay Seafoods - Wood River,Silver Bay Seafoods,"3700 Yako Road, Dillingham, Alaska 99576, USA",https://www.silverbayseafoods.com/,Salmon,Unknown,Unknown,Unknown,HIGH,LOW,LOW,LOW,https://www.silverbayseafoods.com | https://www.silverbayseafoods.com/products,Verified from website text extraction,
Silver Bay Seafoods - Naknek West,Silver Bay Seafoods,"Mile One-Half AK Peninsula, Naknek, Alaska 99633, USA",https://www.silverbayseafoods.com/,Salmon,Unknown,Unknown,Unknown,HIGH,LOW,LOW,LOW,https://www.silverbayseafoods.com | https://www.silverbayseafoods.com/products,Verified from website text extraction,
Silver Bay Seafoods - Naknek East,Silver Bay Seafoods,"622 Frontier Drive, Naknek, Alaska 99633, USA",https://www.silverbayseafoods.com/,Salmon,Unknown,Unknown,Unknown,HIGH,LOW,LOW,LOW,https://www.silverbayseafoods.com | https://www.silverbayseafoods.com/products,Verified from website text extraction,
Silver Bay Seafoods - Dillingham,Silver Bay Seafoods,"1 Denny Way, Dillingham, Alaska 99576, USA",https://www.silverbayseafoods.com/,Salmon,Unknown,Unknown,Unknown,HIGH,LOW,LOW,LOW,https://www.silverbayseafoods.com | https://www.silverbayseafoods.com/products,Verified from website text extraction,
Ocean Beauty Seafoods - Boise,Ocean Beauty Seafoods,"4800 W Irving Street, Boise, Idaho 83706, USA",https://www.oceanbeauty.com/,"Multi-species seafood (Salmon, Lobster, Crab, Shrimp/Prawn, Tuna, Halibut, Cod)",Unknown,Unknown,Unknown,MEDIUM,LOW,LOW,LOW,https://www.oceanbeauty.com | https://www.oceanbeauty.com/products | https://www.oceanbeauty.com/product | https://www.oceanbeauty.com/our-products,Verified from website text extraction,
American Seafoods - Alaska Office,"American Seafoods Co., LLC","1362 Ballyhoo Road, Dutch Harbor, Alaska 99692, USA",https://www.americanseafoods.com/,Cod,Unknown,Unknown,Unknown,HIGH,LOW,LOW,LOW,https://www.americanseafoods.com | https://www.americanseafoods.com/our-products,Verified from website text extraction,
Alaska General Seafoods - Naknek Plant,Alaska General Seafoods,"Mile 1 Alaska Peninsula Hwy, PO Box 149, Naknek, Alaska 99633, USA",https://www.akgen.com/,Salmon,Unknown,Unknown,Unknown,HIGH,LOW,LOW,LOW,https://www.akgen.com | https://www.akgen.com/products,Verified from website text extraction,
