approval_no,plant_name,company,address,town_region,country,activity,activity_type
PP.1.0232.19,SAMAK BEN PROJET,SAMAK BEN PROJET,"ZI LOT 2263, LOTISSEMENT OULED ZAERS, AIN AOUDA",RABAT (AIN AOUDA),Morocco,"CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAIS, ETETAGE ET EVISCERATION, FILETAGE, ET CONGELATION","ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
PEF.1.0233.19,SAMAK BEN PROJET ENTREPOSAGE,SAMAK BEN PROJET ENTREPOSAGE,"ZI LOT 2263, LOTISSEMENT OULED ZAERS, AIN AOUDA",RABAT (AIN AOUDA),Morocco,ENTREPOSAGE,ENTREPOSAGE DES PRODUITS DE LA PECHE SOUS TEMPERATURE DIRIGEE Y COMPRIS LES COQUILLAGES
4521,SAMARA,SAMARA,QUARTIER INDUSTRIEL ESSAOUIRA,ESSAOUIRA,Morocco,CONSERVE DE POISSON,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
3516,SAREX,SAREX,ROUTE DU DJORF EL YOUDI BP 294 SAFI,SAFI,Morocco,CONSERVE DE POISSON,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
PP.74.2500.19,SARGA FRIGO,SARGA FRIGO,ZI AVENUE MOHAMED V DAKHLA,DAKHLA,Morocco,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
3437,SARGA FRIGO II,SARGA FRIGO II,ZI LOT N°1 DAKHLA,DAKHLA,Morocco,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
4577,SAVEUR DE L'OCEAN,SAVEUR DE L'OCEAN,ROUTE DE TETOUAN Z I 3éme RUE N° 85 90000 TANGER,TANGER,Morocco,SEMI-CONSERVE,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
4188,SCANDIMAR,SCANDIMAR,LOT 14 ZI SUD OUEST MOHAMMEDIA,MOHAMMADIA,Morocco,"CONGELATION, Conditionnement des produits de la pêche à l'état frais, Fumage, Séchage, congélation de la chair de crabe cuite, Emulsion de poisson en conserve, boulettes de poisson en conserve et Terrine de poisson en semiconserve","ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
PP.26.0246.20,SELECT FISH,SELECT FISH,"LOT N° B775 QUARTIER 9INDUSTRIEL, INZGANE-AIT MELLOUL",AGADIR,Morocco,CONDITIONNEMENT ET FILETAGE DE POISSON FRAIS,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
PP.71.0185.18,SEPOMER SAHARA 2,SEPOMER SAHARA 2,"ZONE INDUSTRIELLE EL MARSA,LAAYOUNE",LAAYOUNE,Morocco,HUILE DE POISSON A CONSOMMATION HUMAINE,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
PP.52.0016.14,SCERO,SCERO,"ZONE INDUSTRIELLE, ROUTE DE DJORF ELYOUDI SAFI",SAFI,Morocco,CONSERVE DE POISSON,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
2381,SERCODA,SERCODA,ZI N 1 DAKHLA,DAKHLA,Morocco,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
4275,SHRIMPALIDA,SHRIMPALIDA,12 Z.I OUJDA,OUJDA,Morocco,DECORTICAGE DES CREVETTES,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
6099,SHRIMPMADELEINE,SHRIMPMADELEINE,"Z.I N° 40 BP 6000 SELOUANE,NADOR",NADOR,Morocco,DECORTICAGE DES CREVETTES ET CONGELATION DES CREVETTES DECORTIQUESET CONGELATION DU CALAMAR,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
1898,SIALCO,SIALCO,QI ANZA BP 6294 ANZA 80002 AGADIR,AGADIR,Morocco,SEMI-CONSERVE,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
PP.25.3976.20,BINEG,BINEG,ANCIEN PORT D'AGADIR,AGADIR,Morocco,CONGELATION ET ENTREPOSAGE,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
2824,SIGMA PECHE,SIGMA PECHE,PORT DE PECHE D'AGADIR,AGADIR,Morocco,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
4123,SILVER FOOD,SILVER FOOD,DOUAR BOUHALA COMMUNE DE SAHEL OULED HARIZ BERRACHID,CASABLANCA,Morocco,CONSERVE DE POISSON,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
