approval_no,plant_name,company,address,town_region,country,activity,activity_type
3746,TAJMID FISH,TAJMID FISH,ZI MOULAY RACHID RUE 3 LOT 124 CASABLANCA,CASABLANCA,Morocco,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
2723,TAM,TAM,BD DES ZENETAS ET HASSAN II. MOHAMMEDIA,MOHAMMADIA,Morocco,CONSERVE DE POISSON,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
PP.74.0229.19,TAN TAN FRIGO,TAN TAN FRIGO,Lot n° 6 ZONE INDUSTRIELLE HAY ESSALAM DAKHLA,DAKHLA,Morocco,"ETETAGE, EVISCERATION ET CONGELATION","ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
PP.60.0089.16,TARIFET DOS MAR,TARIFET DOS MAR,PORT DE MEHDIA KENITRA,KENITRA,Morocco,CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAIS,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
3224,TAYART FRIGO,TAYART FRIGO,RUE OUED ESDDAHAB N° 5 DAKHLA,DAKHLA,Morocco,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
PP.42.0069.15,TAZA FOOD SERVICES SARL,TAZA FOOD SERVICES SARL,"LOT 81,82,83,84,85 ZONE INDUSTRIELLE 2 TAZA",TAZA,Morocco,DECORTICAGE DES CREVETTES,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
PEF.42.0070.15,TAZA FOOD SERVICES SARL,TAZA FOOD SERVICES SARL,"LOT 81,82,83,84,85 ZONEINDUSTRIELLE 2 TAZA",TAZA,Morocco,ENTREPOSAGE,ENTREPOSAGE DES PRODUITS DE LA PECHE SOUS TEMPERATURE DIRIGEE Y COMPRIS LES COQUILLAGES
3397,TECHLA,TECHLA,Z I Hay SalamDAKHLA,DAKHLA,Morocco,"ETETAGE, EVISCERATION ET CONGELATION DES PETITS PELAGIQUES","ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
2742,THALASSA PRODUCTS,THALASSA PRODUCTS,PARCELLE N° 9 NOUVEAU PORT AGADIR,AGADIR,Morocco,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
PP.74.2582.18,TICHNA PECHE,TICHNA PECHE,N° 209 210 ZONE INDUSTRIELLE ESSALAM DAKHLA,DAKHLA,Morocco,EVISCERATION ET CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
3009,TIRES MER,TIRES MER,85 QI HAY ES SALAM DAKHLA ZI HAY ESSALAM,DAKHLA,Morocco,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
PP.71.5042.20,TISSIR PORT,TISSIR PORT,LOT N° 32 ZONE INDUSTRIELLE EL MARSA PORT DE LAAYOUNE,LAAYOUNE,Morocco,"CONGELATION DES PRODUITS DE LA PECHE, CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAIS ET FILETAGE","ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
PP.40.2004.18,TK FISH,TK FISH,N 42 ZONE INDUSTRIELLE ROUTE DE MARTIL TETOUAN,M'DIQ,Morocco,"CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAIS ET DECORTICAGE DES CREVETTES, SAUMURAGE DES CREVETTES DECORTIQUES, MARINADE, CONDITIONNEMENT DES PRODUITS DE L'AQUACULTURE, CONDITIONNEMENT ET TRANSFORMATION DES TRANCHES DE SAUMON FARCIES AU FROMAGE BLANC ET RECUPERATION ET CONDITIONNEMENT DE LA CARAPACE FRAICHE DES CREVETTES DESTINEE A LA CONSOMMATION HUMAINE ET CONGELATION DES CREVETTES","ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
2503,TOP QUALITY FISH SERVICE,TOP QUALITY FISH SERVICE,PARCELLE N 8 NOUVEAU PORT AGADIR BP 5231,AGADIR,Morocco,SEMI-CONSERVE,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
1654,UNIMER / ETAMAR,UNIMER / ETAMAR,11 ROUTE DE ZENATAS RUE L – AIN SEBAA CASABLANCA Q.I ANZA AGADIR BP 124,AGADIR,Morocco,CONSERVE DE POISSON,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
4138,UNIMER CNA 1,UNIMER CNA 1,ROUTE ELL YOUDI SAFI BP 129 SAFI,SAFI,Morocco,CONSERVE DE POISSON,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
1061,UNIMER CNA 2,UNIMER CNA 2,ROUTE DU JORF EL YOUDI BP 41 SAFI,SAFI,Morocco,CONSERVE DE POISSON,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
1592,UNIMER CNA 3,UNIMER CNA 3,N° 4 RUE EL BAHARA BP 85 Q.I ANZA AGADIR,AGADIR,Morocco,CONSERVE DE POISSON,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
3530,UNIMER/ ETAMAR,UNIMER/ ETAMAR,ROUTE EL YOUDI BP 114 SAFI,SAFI,Morocco,CONSERVE DE POISSON,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
1172,UNIMER-MEHDIA,UNIMER-MEHDIA,BP 228 PORT DE MEHDIA,KENITRA,Morocco,SEMI-CONSERVE,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
1896,UNION MAREE,UNION MAREE,"1, PLACE PRINCE SIDI MOHAMED BP 1544 CASA CARE 20300 SAFI",SAFI,Morocco,CONDITIONNEMENT DES PRODUITSS DE LA PECHE A L'ETAT FRAIS ET DES ŒUFS D'OURSINS,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT E T O U CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
1897,UPA II,UPA II,ROUTE EL YOUDI SAFI,SAFI,Morocco,CONSERVE DE POISSON,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
1433,UPA III,UPA III,ROUTE EL YOUDI SAFI,SAFI,Morocco,CONSERVE DE POISSON,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
PP.71.0217.19,VAL FISH,VAL FISH,"LOT 113, ZONE INDUSTRIELLE EL MARSA, LAAYOUNE",LAAYOUNE,Morocco,MARINADE DES PETITS PELAGIQUES ET CEPHALOPODES ET CONGELATION ET FILETAGE,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
PP.34.3747.18,VALOFISH,VALOFISH,PORT DE PECHE TANGER,TANGER,Morocco,CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAIS,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
1363,VANELLI MAROC,VANELLI MAROC,QI AIT MELLOUL AGADIR,AGADIR,Morocco,SEMI-CONSERVE,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
PEF.19.0104.16,VITA MER,VITA MER,LOT N° 508 LOTISSEMENT AL MASSAR ROUTE DE SAFI MARRAKECH,MARRAKECH,Morocco,ENTREPOSAGE,ENTREPOSAGE DES PRODUITS DE LA PECHE SOUS TEMPERATURE DIRIGEE Y COMPRIS LES COQUILLAGES
3305,VMM,VMM,"KM 9 ROUTE EL JADIDA, ZI DE LISSASFA. CASA 9 RUE SAINT EMILLON 20300 CASA",CASABLANCA,Morocco,CONSERVE DE POISSON,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
PEF.5.0054.15,VMM,VMM,"Z.I LISSASFA,KM 9,ROUTE EL JADIDA CASABLANCA",CASABLANCA,Morocco,ENTREPOSAGE,ENTREPOSAGE DES PRODUITS DE LA PECHE SOUS TEMPERATURE DIRIGEE Y COMPRIS LES COQUILLAGES
2422,WELL FISHING,WELL FISHING,ZONE INDUSTRIELLE PORT LAAYOUNE,LAAYOUNE,Morocco,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
PP.50.0268.20,ZAKAMINE,ZAKAMINE,zone industrielle PORTUAIRE-PORT DE BENI ENSAR,NADOR,Morocco,DECORTICAGE DES CREVETTES,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
PP.26.0169.18,FISHMARK,FISHMARK,A62 ZI TASSILA INEZGANE AIT MEOUL AGADIR,AGADIR,Morocco,CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAIS,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
