NOM DE L'ETABLISSEMENT,ADRESSE,PROVINCE/SERVICE PROVINCIAL/PORT D'ATTACHE,NUMERO AGREMENT/AUTORISATION,ACTIVITE DE L'ETABLISSEMENT,TYPE D'ACTIVITE
UNION MAREE,"1, PLACE PRINCE SIDI MOHAMED BP 1544 CASA CARE 20300 SAFI",SAFI,1896,CONDITIONNEMENT DES PRODUITSS DE LA PECHE A L'ETAT FRAIS ET DES ŒUFS D'OURSINS,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT E T O U CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
UPA II,ROUTE EL YOUDI SAFI,SAFI,1897,CONSERVE DE POISSON,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
UPA III,ROUTE EL YOUDI SAFI,SAFI,1433,CONSERVE DE POISSON,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
VAL FISH,"LOT 113, ZONE INDUSTRIELLE EL MARSA, LAAYOUNE",LAAYOUNE,PP.71.0217.19,MARINADE DES PETITS PELAGIQUES ET CEPHALOPODES ET CONGELATION ET FILETAGE,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
VALOFISH,PORT DE PECHE TANGER,TANGER,PP.34.3747.18,CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAIS,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
VANELLI MAROC,QI AIT MELLOUL AGADIR,AGADIR,1363,SEMI-CONSERVE,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
VITA MER,LOT N° 508 LOTISSEMENT AL MASSAR ROUTE DE SAFI MARRAKECH,MARRAKECH,PEF.19.0104.16,ENTREPOSAGE,ENTREPOSAGE DES PRODUITS DE LA PECHE SOUS TEMPERATURE DIRIGEE Y COMPRIS LES COQUILLAGES
VMM,"KM 9 ROUTE EL JADIDA, ZI DE LISSASFA. CASA 9 RUE SAINT EMILLON 20300 CASA",CASABLANCA,3305,CONSERVE DE POISSON,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
VMM,"Z.I LISSASFA,KM 9,ROUTE EL JADIDA CASABLANCA",CASABLANCA,PEF.5.0054.15,ENTREPOSAGE,ENTREPOSAGE DES PRODUITS DE LA PECHE SOUS TEMPERATURE DIRIGEE Y COMPRIS LES COQUILLAGES
WELL FISHING,ZONE INDUSTRIELLE PORT LAAYOUNE,LAAYOUNE,2422,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
ZAKAMINE,zone industrielle PORTUAIRE-PORT DE BENI ENSAR,NADOR,PP.50.0268.20,DECORTICAGE DES CREVETTES,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
FISHMARK,A62 ZI TASSILA INEZGANE AIT MEOUL AGADIR,AGADIR,PP.26.0169.18,CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAIS,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
