NOM DE L'ETABLISSEMENT,ADRESSE,PROVINCE/SERVICE PROVINCIAL/PORT D'ATTACHE,NUMERO AGREMENT/AUTORISATION,ACTIVITE DE L'ETABLISSEMENT,TYPE D'ACTIVITE
AZUL FISH 2,"N° 756,LOTISSEMENT AL MASSAR, ROUTE DE SAFI, 40000,MARRAKECH",MARRAKECH,PP.19.0146.17,"CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAIS, CONGELATION ET FILETAGE","ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
AZUL FISH 3,"N° 310 LOTISSEMENT LINA ,ZI SIDI MAAROUF-CASABLANCA",CASABLANCA,PEF.5.0175.18,ENTREPOSAGE,ENTREPOSAGE DES PRODUITS DE LA PECHE SOUS TEMPERATURE DIRIGEE Y COMPRIS LES COQUILLAGES
BAHRI FISH,LOT N° 62 ZONE INDUSTRIELLE DE BENI MELLAL,BENI MELLAL,PP.63.0155.18,CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAIS ET CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
BAZEN,"167, BD DE BOURGOGNE CASABLANCA",MOHAMMADIA,3196,SECHAGE DE POISSON,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
BEAUX FRIGOS,ZONE INDUSTRIELLE ESSALAM DAKHLA,DAKHLA,2817,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
NATURA POISSONS,PARCELLE 64 NOUVEAU PORT ANZA AGADIR,AGADIR,PP.25.3313.20,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
BELMA,"ZONE INDUSTRIELLE D'AIT MELLOUL, LOT N° 862",AGADIR,1709,CONSERVE DE POISSON,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
BENSSI FRIGO,ZONE INDUSTRIELE HAY ESSALAM DAKHLA,DAKHLA,3222,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
BEST CONSERVES,"19 ROUTE NATIONAL RELIANT TAOURIRT ET DEBDOU, COMMUNE AHL OUES ZA, Province TAOURIRT",TAOURIRT,PP.47.0278.21,DECORTICAGE DES CREVETTES,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
BIO FISH,"N° 92 ZONE 1 PARC INDUSTRIEL DE BOUSKOURA, PROVINCE DE NOUACEUR CASABLANCA",CASABLANCA,5157,CONGELATION ET ENTREPOSAGE,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE ENTREPOSAGE DES PRODUITS DE LA PECHE SOUS TEMPERATURE DIRIGEE Y COMPRIS LES COQUILLAGES"
BLANCAMAR,"LOTS 15 ET16, Z.I SAPINO PROVINCE DE NOUACEUR CASABLANCA",CASABLANCA,2975,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
BLANMAR,ZONE INDUSTRIELLE HAY ESSALAM DAKHLA,DAKHLA,2915,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
FATIFISH FOOD,"8,9,10 ZONE INDUSTRIELLE ABI REGRAG,RABAT",RABAT,PP.1.0087.16,"CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAIS, CONGELATION, FILETAGE, DECORTICAGE DES CREVETTES","ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
HANDELMA,"N°1,ZONE INDUSTRIELLE ABI REGREG,TAKADOUM RABAT",RABAT,PEF.1.0063.15,ENTREPOSAGE,ENTREPOSAGE DES PRODUITS DE LA PECHE SOUS TEMPERATURE DIRIGEE Y COMPRIS LES COQUILLAGES
BOUZERGTOUN SEAFOOD,STALLE N° 11 PORT DE PECHE S CASABLANCA,CASABLANCA,3087,CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAIS,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
C.C.I.D,BP 111 ZONE INDJUSTRIELLE DAKHLA,DAKHLA,1963,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
CANPECHES,LOT N° 10 ZONE INDUSTRIELLE BOUJDOUR,BOUJDOUR,2761,CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAIS ET CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
CENPESUD,ZONE INDUSTRIELLE ESSALAML DAKHLA,DAKHLA,3266,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
CEPHALOPODES RIO DE ORO,,DAKHLA,PP.74.2512.18,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
CIBEL,ZONE EXTRAPORTUAIRE BP 38 PORT DE TAN TAN,TAN TAN,PP.68.0014.14,HUILE DE POISSON A CONSOMMATION HUMAINE,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
CIBEL IV,QI ANZA BP.135-AGADIR,AGADIR,9421,CONSERVE DE POISSON,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
CISNEROS SEA FOOD,"ZONE PORTUAIRE, ANCIEN PORT,AGADIR",AGADIR,PEF.25.0044.15,ENTREPOSAGE,ENTREPOSAGE DES PRODUITS DE LA PECHE SOUS TEMPERATURE DIRIGEE Y COMPRIS LES COQUILLAGES
CODAKPO,ZONE INDUSTRIELLE Hay Salam DAKHLA,DAKHLA,3065,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
COFEPROMER,PROVINCE DE CHTOUKA AIT BAHA AGADIR,AGADIR,5427,SECHAGE DES MOULES,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
COFRIGOB,LOT 53 ZONE INDUSTRIELLE EL MARSSA LAAYOUNE,LAAYOUNE,PP.71.3335.18,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
COFRIGOB ENTREPOSAGE,LOT 81 ZONE INDUSTRIELLE EL MARSSA LAAYOUNE,LAAYOUNE,PEF.71.0274.21,ENTREPOSAGE,ENTREPOSAGE DES PRODUITS DE LA PECHE SOUS TEMPERATURE DIRIGEE Y COMPRIS LES COQUILLAGES
COLOCONSA,PRINCE MOULAY HASSAN BEN MEHDI- ASILAH,ASILAH,1720,SEMI-CONSERVE,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
COMEA,ZONE INDUSTRIELLE ZONE BASSE ROUTE DE JORF LIHOUDI SAFI,SAFI,PP.52.4326.19,CONSERVE DE POISSON,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
CONGEL D'CHERA,"38,BIS, ZONE INDUSTRIELLE , EL MARSA, LAYOUNE",LAAYOUNE,PP.71.2940.15,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
CONGEL MIRAMAR,ZONE INDUSTRIELLE HAY ESSALAM DAKHLA,DAKHLA,3113,"CONGELATION, CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAIS, FILETAGE, EVISCERATION ET ETETAGE DES PETITS PELAGIQUES","ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
CONGELADO MANHATTAN,"4 GROUPE LOCAUX TECH, ZI TETOUAN",M'DIQ,PEF.40.0064.16,ENTREPOSAGE,ENTREPOSAGE DES PRODUITS DE LA PECHE SOUS TEMPERATURE DIRIGEE Y COMPRIS LES COQUILLAGES
CONGELADOS PESCA,ZONE INDUSTRIELLE ESSALAM DAKHLA,DAKHLA,3116,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
CONGELATION AL JANOUB,ZONE INDUSTRIELLE ESSALAM DAKHLA,DAKHLA,PP.74.3011.18,"CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAIS, CONGELATION ET FILETAGE","ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
CONGELATION AL KHALIJ,ZONE INDUSTRIELLE HAY SALAM DAKHLA,DAKHLA,3066,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
CONGELATION ALOUK DAS,BP 83 ZONE INDUSTRIELLE DAKHLA,DAKHLA,2512,CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAIS ET CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT E T O U CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
CONGELATION CABO BARBAS,"LOT N° 23-24, 25 ZONE INDUSTRIELLE. HAY ESSALAM DAKHLA",DAKHLA,3246,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
CONGELATION EL MOUSTAKIM,,LAAYOUNE,PP.71.3921.18,CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAIS ET CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
CONGELATION VILLAMAR,ZONE .INDUSTRIELLE HAY ESSALAM DAKHLA,DAKHLA,2917,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
CONITAL,QI TASSILA AGADIR,AGADIR,3278,SEMI-CONSERVE,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
CONOR,ZI HAY TAKADOUM BP 22 TAOURIRTE / LOT N° 44 ZONE INDUSTRIELLE OUJDA,TAOURIRT,1293,SEMI-CONSERVE,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
CONSERVAL,ROUTE DU JORF EL YOUDI BP 2253. RC 1425 SAFI,SAFI,3147,CONSERVE DE POISSON,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
CONSERVAL II,ROUTE DJORF LYOUDI BP 2253,SAFI,5381,CONSERVE DE POISSON,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
CONSERVAS Y SALAZONES DEL ATLANTICO,NOUVEAU PORT DE LARACHE BP 572 LARACHE,LARACHE,3014,SEMI-CONSERVE,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
CONSERVERIE D’OUJDA,Q.I BP 361 OUJDA / LOT N° 44 ZONE INDUSTRIELLE OUJDA,OUJDA,1248,SEMI-CONSERVE,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
CONSERVERIE DES DEUX MERS,LOT 37-38-39-40-42 NOUVEAU PORT D' AGADIR,AGADIR,2035,SEMI-CONSERVE ET MARINADE DES ANCHOIS AU VINAIGRE ET FILETAGE DU POISSON SAL2,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
CONSERVERIE DE OUED EDDAHAB,"LOT N°3, ZONE INDUSTRIELLE PORTUAIRE -DAKHLA",DAKHLA,PP.74.0265.20,CONSERVE DE POISSON,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
CONSERVERIE IFNI,ANGLE AVENUE AL MOUKAOUAMA ET RUE MOUSSA IBNOU NOUSSAIR ZONE INDUSTRIELLE BP 399 AGADIR,AGADIR,PP.25.2294.18,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
CONSERVERIE LA GIRONDE,RUE MOUSSA IBNOU NOUSSAIR.QI.AGADIR,AGADIR,4175,CONSERVE DE POISSON,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
CONSERVERIES DES 2 MERS,RUE 3 LOT 84 ZI ROUTE DE TETOUAN TANGER,TANGER,1461,SEMI-CONSERVE,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
CONSERVERIES PELAGIQUES DE DAKHLA,"Lot n° 2, ZONE INDUSTRIELLE PORTUAIRE -DAKHLA",DAKHLA,PP.74.0269.20,CONSERVE DE POISSON,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
CONSERVERIES RIO DE ORO,"Lot n° 6, ZONE INDUSTRIELLE PORTUAIRE -DAKHLA",DAKHLA,PP.74.0260.20,CONSERVE DE POISSON,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
COPELIT,BP 66 Z I LAAYOUNE PORT,LAAYOUNE,3227,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
COPELIT,ZONE INDUSTRIELLE BP 66 PORT LAAYOUNE,LAAYOUNE,5459,HUILE DE POISSON A CONSOMMATION HUMAINE,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
COPERATIVE ISLMANE IFNI,ZONE INDUSTRIELLE DE SIDI IFNI,SIDI IFNI,PP.33.0084.16,SEMI-CONSERVE,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
COPRALIM,"ZONE INDUSTRIELLE TASSILA,N° 178 D'CHEIRA EL JIHADIA INEZGANE AIT MELLOUL",AGADIR,PP.26.0157.18,"CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAIS, CONGELATION ET FILETAGE","ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
COPRAVE,37 RUE AIT BA AMRANE CASA (RUE IBN BATOUTA ZI LOT N 115 EL JADIDA) USINES : N°115 QUARTIER INDUSTRIEL,EL JADIDA,2218,SEMI-CONSERVE,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
COPRINCO,BP 186 PORT DE BENI NSAR NADOR 62050,NADOR,2155,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
COQUILLAGES DAKHLA,HAY MOULAY RACHID DAKHLA,DAKHLA,2573,EXPEDITION DES CRUSTACES VIVANTS,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
COSA PECHE,BP 1 ZONE INDUSTRIELLE HAY SALAM DAKHLA,DAKHLA,3012,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
COSTA CONSERVE,"ZONE INDUSTRIELLE MUNICIPALE,LOT 89 KENITRA",KENITRA,PP.60.0088.16,"SEMI-CONSERVE, MARINADE, CUISSON ET CONGELATION","ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
COUJDA II,PORT DE PECHE DE MEHDIA,KENITRA,3060,SEMI-CONSERVE,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
CRANGOMAR,"TANGER FREE ZONE, ILOT N° 118 B, LOT N° 2 TANGER BOUKHALEF",TANGER,4803,DECORTICAGE DES CREVETTES,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
CRAWFISH,"LOT N° 42, ZONE INDUSTRIELLE, SAFI",SAFI,PP.52.0114.16,CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAIS,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
CRUSTA FISH,ANGLE RUE ECHEIH CHAAIB ADOUKALI ET RUE IBN KHALDOUN EL FARABI QUARTIER DU PORT DE PECHE MOHAMMEDIA,MOHAMMADIA,5222,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
CSF,ZONE INDUSTRIELLE AVENUE BOUJDOUR DAKHLA,DAKHLA,PP.74.2467.18,"CONGELATION, EVISCERATION ETETAGE, FILETAGE, CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAIS ET TRAITEMENT ET CONGELATION DES ŒUFS DE SEICHE ET DE COURBINE","ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
CUMAREX,39 Z I DE TETOUAN BP 6037,M'DIQ,1156,CONSERVE DE POISSON,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
CUMAREX 1,39 ZI DE TETOUAN BP 6049,M'DIQ,3498,"CONSERVE DE POISSON, CONSERVE DE COQUILLAGE ET CONSERVE DE POULPE","ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
DAKHLA STOCKAGE,"Lot n° 140 ZONE INDUSTRIELLE HAY ESSALAM, DAKHLA",DAKHLA,PEF.74.0193.18,ENTREPOSAGE,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
DAKMAR,BP 132 ZONE INDUSTRIELLE ESSALAM DAKHLA,DAKHLA,2274,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
DAKNAVE,BP 132 ZONE INDUSTRIELLE ESSALMAM DAKHLA,DAKHLA,2698,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
DAKORO,LOT 36 NOUVELLE ZONE INDUSTRIELLE ESSALAM DAKHLA,DAKHLA,3404,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
DAMJIGUEND,"ZONE INDUSTRIELE, MALAH,ROUTE DE TANGER BP 121 LARACHE",LARACHE,1975,CONGELATION ET SEMI-CONSERVE,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
DAMPECHE,NOUVEAU POTR DE PECHE DE TANGER,TANGER,PP.34.1048.18,CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAIS,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
DAMPECHE 1,"N° 104, NOUVEAU POTR DE PECHE DE LARACHE",LARACHE,PP.37.0266.20,SEMI CONSERVES D'ANCHOIS MARIN2S,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
DAMSA,59 ZONE INDUSTRIEL AM MARSA PORT DE LAAYOUNE,LAAYOUNE,5210,CONSERVE DE POISSON,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
