approval_no,plant_name,company,address,town_region,country,activity,activity_type,latitude,longitude,geocode_confidence,geocode_formatted
3410,KACEM PECHE,KACEM PECHE,LOT N° 63 Z . I ESSALAM DAKHLA,DAKHLA,Morocco,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE",30.41071,-9.55572,9,"Dakhla, Oued ed Dahab-Lagouira, Morocco"
PP.72.0074.16,KATASAB FISH SARL,KATASAB FISH SARL,N° 50 ZONE INDUSTRIELLE AL FATH BOUJDOUR,BOUJDOUR,Morocco,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE",26.11472,-14.38917,9,"Cabo Bojador, Boujdour, Morocco"
PP.71.0031.15,KB FISH,KB FISH,"ZONE INDUSTRIELLE, EL MARSA, LAAYOUNE",LAAYOUNE,Morocco,HUILE DE POISSON A CONSOMMATION HUMAINE,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE",27.18064,-13.06349,9,"Laayoune, Morocco"
PP.34.0221.19,KLAAS PUUL HAND PEELED,KLAAS PUUL HAND PEELED,"ZONE FRANCHE, ILOT N°1, LOT N°7, TANGER",TANGER,Morocco,DECORTICAGE DES CREVETTES,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE",35.76727,-5.79975,6,"Tangier, Tanger-Assilah, Morocco"
PP.34.0013.14,KLAAS PUUL MAROC,KLAAS PUUL MAROC,"Z.I. AL MAJD, BEHAER, AOUAMA TANGER",TANGER,Morocco,DECORTICAGE DES CREVETTES,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE",35.76727,-5.79975,6,"Tangier, Tanger-Assilah, Morocco"
3999,KOMEZMAR,KOMEZMAR,LOT N° 99 Z I BIR RAMI KENITRA,KENITRA,Morocco,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE",34.26101,-6.5802,7,"Kenitra, Morocco"
PP.71.3460.18,KOMO FISH,KOMO FISH,"LOT N°47,ZONE INDUSTRIELLE EL MARSA LAAYOUNE",LAAYOUNE,Morocco,CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAIS ET CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE",27.18064,-13.06349,9,"Laayoune, Morocco"
1767,L’ESPADON,L’ESPADON,Q I AGADIR,AGADIR,Morocco,CONSERVE DE POISSON,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE",30.41068,-9.5613183,8,"Boulevard Hassan I, 80006 Agadir, Morocco"
PP.25.0043.15,LA BEL VIE,LA BEL VIE,"ANGLE ROUTE NATIONALE N° 1 ET NATIONALE N° 8 COMMUNE TIKIOUINE AGADIR IDAOUTANATE,AGADIR",AGADIR,Morocco,CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAIS,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE",30.42018,-9.59815,7,"Agadir, Agadir-Ida-ou-Tnan, Morocco"
3432,LA VICTOIRE FISH,LA VICTOIRE FISH,N° 127/B2 ZONE INDUSTRIELLE TASSILA AGADIR,AGADIR,Morocco,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE",30.42018,-9.59815,7,"Agadir, Agadir-Ida-ou-Tnan, Morocco"
