approval_no,plant_name,company,address,town_region,country,activity,activity_type,latitude,longitude,geocode_confidence,geocode_formatted
4972,MAROMEGA,MAROMEGA,PORT DE PECHE DE TAN TAN,TAN TAN,Morocco,HUILE DE POISSON A CONSOMMATION HUMAINE,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE",28.43288,-11.08697,1,"Tan Tan, Tan-Tan, Morocco"
3960,MARPEX,MARPEX,ANCIEN PORT D'AGADIR PARCELLE N° 70,AGADIR,Morocco,SEMI-CONSERVE,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE",30.42018,-9.59815,7,"Agadir, Agadir-Ida-ou-Tnan, Morocco"
PP.7.0240.20,MEAT CORP,MEAT CORP,"LOT 136, COMPLEXE INDUSTRIEL SAPINO, Province de NOUACEUR",MEDIOUNA/NOUACEUR,Morocco,CONSERVE DE POISSON,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE",33.3802,-7.62105,7,"Nouaseur, Chaouia-Ouardigha, Morocco"
PP.7.0228.19,MATRAVIA,MATRAVIA,"LOT 29 PARC INDUSTRIEL DE BOUSKOURA, NOUACEUR",MEDIOUNA/NOUACEUR,Morocco,"CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAIS, FILETAGE, DECORTICAGE DES CREVETTES, CUISSON DES CRUSTAC2S ET CONGELATION","ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE",33.3802,-7.62105,7,"Nouaseur, Chaouia-Ouardigha, Morocco"
PP.34.0204.19,MED PECHE,MED PECHE,Nouveau port de pêche de Tanger,TANGER,Morocco,CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAIS ET CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE",35.76727,-5.79975,6,"Tangier, Tanger-Assilah, Morocco"
5649,MED SEA FOOD,MED SEA FOOD,LOT 814 ZONE INDUSTIRIELLE AL MAJD TANGER,TANGER,Morocco,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE",35.76727,-5.79975,6,"Tangier, Tanger-Assilah, Morocco"
3280,MELLALE PECHE,MELLALE PECHE,Z.I ESSALAM DAKHLA,DAKHLA,Morocco,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE",30.41071,-9.55572,9,"Dakhla, Oued ed Dahab-Lagouira, Morocco"
4279,MER FRUIT,MER FRUIT,PORT DE BENI NSAR NADOR,NADOR,Morocco,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE",35.2651731,-2.9331484,9,"Beni Nsar Port, Route Beni Ensar طريق بني انصار, 62052 Beni Ansar, Morocco"
PEF.19.124.17,MERZAGA,MERZAGA,LOT N° 656 AL MASSAR ROUTE DE SAFI MARRAKECH,MARRAKECH,Morocco,ENTREPOSAGE,ENTREPOSAGE DES PRODUITS DE LA PECHE SOUS TEMPERATURE DIRIGEE Y COMPRIS LES COQUILLAGES,31.63416,-7.99994,6,"Marrakesh, Marrakech, Morocco"
5898,MERVEILLES DES MERS,MERVEILLES DES MERS,BP 270 ZONE INDUSTRIEL ROUTE TELEMZOUNE TAN TAN,TAN TAN,Morocco,CONSERVE DE POISSON,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE",28.43288,-11.08697,1,"Tan Tan, Tan-Tan, Morocco"
PP.68.0224.19,MERVEILLES DES MERS 2,MERVEILLES DES MERS 2,ZONE INDUSTRIEL ROUTE TELEMZOUNE TAN TAN 82000,TAN TAN,Morocco,"CONGELATION DES PETITS PELAGIQUES ETETES, EVISCERES ET FILETES","ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE",28.43288,-11.08697,1,"Tan Tan, Tan-Tan, Morocco"
1347,MIDAV,MIDAV,ROUTE SIDI OUASSEL BP 301 SAFI,SAFI,Morocco,CONSERVE DE POISSON,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE",32.29939,-9.23718,7,"Safi, Morocco"
PEF.9.0158.18,MIDL FISH,MIDL FISH,21 LOT NAMAE BENSOUDA FES,FES,Morocco,ENTREPOSAGE,ENTREPOSAGE DES PRODUITS DE LA PECHE SOUS TEMPERATURE DIRIGEE Y COMPRIS LES COQUILLAGES,34.03715,-4.9998,6,"Fès, Fes, Morocco"
4690,MIFACOP,MIFACOP,PORT DE BENI NSAR NADOR,NADOR,Morocco,CONGELATION ET CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAIS,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE",35.2651731,-2.9331484,9,"Beni Nsar Port, Route Beni Ensar طريق بني انصار, 62052 Beni Ansar, Morocco"
2348,MIPROMER,MIPROMER,PARCELLE N 85 BP 1712 NOUVEAU PORT AGADIR,AGADIR,Morocco,CONGELATION ET ENTREPOSAGE,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE",30.42018,-9.59815,7,"Agadir, Agadir-Ida-ou-Tnan, Morocco"
3515,MOHDAVNOR,MOHDAVNOR,ZONE FRANCHE DE TANGER,TANGER,Morocco,DECORTICAGE DES CREVETTES,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE",35.7177722,-5.9187258,7,"90100 Gueznaïa, Morocco"
PP.5.0001.14,MOUSSAOUI FISH FOOD,MOUSSAOUI FISH FOOD,N°97 HAY RAJAA ANGLE RUE DES PLEIADES ET ALLEE DES LIONS CASABLANCA,CASABLANCA,Morocco,CONGELATION ET ENTREPOSAGE,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE",,,,
PEF.5.0129.17,MOUSSAOUI FISH FOOD 2,MOUSSAOUI FISH FOOD 2,N° 97 HAY RAJJA RUE DES PLEIADES ET A LLEE DES LIONS CASABLANCA,CASABLANCA,Morocco,ENTREPOSAGE,ENTREPOSAGE DES PRODUITS DE LA PECHE SOUS TEMPERATURE DIRIGEE Y COMPRIS LES COQUILLAGES,,,,
2388,MOUTEI ET GONZALEZ,MOUTEI ET GONZALEZ,AVANT PORT DE MEHDIA KENITRA,KENITRA,Morocco,CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAIS,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE",34.26101,-6.5802,7,"Kenitra, Morocco"
PEF.25.0045.16,MULTI MEAT,MULTI MEAT,LOT N° 280 (E63) ZONE INDUSTRIELLE TASSILA II AGADIR,AGADIR,Morocco,ENTREPOSAGE,ENTREPOSAGE DES PRODUITS DE LA PECHE SOUS TEMPERATURE DIRIGEE Y COMPRIS LES COQUILLAGES,30.42018,-9.59815,7,"Agadir, Agadir-Ida-ou-Tnan, Morocco"
PP.26.0040.14,NABAOCTOPUS,NABAOCTOPUS,N° 674 FARHAT HACHAD Z.I DCHEIRA EL JIHADIA INEZGANE AIT MELLOUL AGADIR,AGADIR,Morocco,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE",30.33729,-9.49783,9,"Ait Melloul, Inezgane-Ait Mellou, Morocco"
3879,NEPTON FRIGO,NEPTON FRIGO,"Z.I. EXTRA PORTUAIRE BP 317, EL OUATIA, TANTAN PLAGE",TAN TAN,Morocco,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE",28.08333,-11.08333,1,"Tan-Tan, Morocco"
PEF.34.0227.19,NERMINE FISH,NERMINE FISH,Lot n° 33 ZONE INDUSTRIELLE GZENAYA TANGER,TANGER,Morocco,ENTREPOSAGE,ENTREPOSAGE DES PRODUITS DE LA PECHE SOUS TEMPERATURE DIRIGEE Y COMPRIS LES COQUILLAGES,35.76727,-5.79975,6,"Tangier, Tanger-Assilah, Morocco"
4984,NEW INDUS FISH,NEW INDUS FISH,"LOT 80,ZONE INDUSTRIELLE BASSE,ROUTE DJORF,SAFI",SAFI,Morocco,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE",32.29939,-9.23718,7,"Safi, Morocco"
PP.6.0167.18,NOBLEMAR,NOBLEMAR,PORT DE PECHE DE MOHAMMEDIA,MOHAMMEDIA,Morocco,CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAIS ET CRUSTACES VIVANTS,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE",33.68607,-7.38298,7,"Mohammedia, Morocco"
PP.60.0121.16,NOR-DANSKE,NOR-DANSKE,PORT DE MEHDIA KENITRA,MEHDIA,Morocco,"FUMAGE, EVISCERATION ET ETETEGE ET FILETAGE","ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE",34.2715531,-6.6446354,9,"Kasbat el Mehdia, Mehdya, باشوية المهدية, Morocco"
3339,NOUN’S FISH,NOUN’S FISH,"Km 42, CENTRE SIDI RAHAL ROUTE COTIERE CASA AZEMOUR SIDI RAHAL PLAGE",CASABLANCA,Morocco,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE",31.24693,-8.65456,9,"Zaouia Sidi Rehal, Marrakech-Tensift-Al Haouz, Morocco"
4512,NOUNE MAROC,NOUNE MAROC,QUARTIER MUNICIPAL INDUSTRIEL LOT N° 71 KENITRA,KENITRA,Morocco,EXPIDITION DES ANGUILLES VIVANTES,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE",34.26101,-6.5802,7,"Kenitra, Morocco"
PP.68.0012.14,NOUVELLE OUGALA,NOUVELLE OUGALA,PORT DE PECHE DE TAN TAN,TAN TAN,Morocco,HUILE DE POISSON A CONSOMMATION HUMAINE,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE",28.43288,-11.08697,1,"Tan Tan, Tan-Tan, Morocco"
3148,NOUVELLE AVEIRO MAROC II,NOUVELLE AVEIRO MAROC II,QI AIT MELLOUL AGADIR,AGADIR,Morocco,"CONGELATION, ENTREPOSAGE","ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE",30.42018,-9.59815,7,"Agadir, Agadir-Ida-ou-Tnan, Morocco"
2081,NOUVELLE COSARNO,NOUVELLE COSARNO,RUE AL BAHARA QI. ANZA. BP.6196. AGADIR,AGADIR,Morocco,CONSERVE DE POISSON,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE",30.42018,-9.59815,7,"Agadir, Agadir-Ida-ou-Tnan, Morocco"
PEF.25.0195.18,NOUVELLE COSARNO 2,NOUVELLE COSARNO 2,RUE AL BAHARA QI. ANZA. BP.6196. AGADIR,AGADIR,Morocco,ENTREPOSAGE,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE",30.42018,-9.59815,7,"Agadir, Agadir-Ida-ou-Tnan, Morocco"
PP.72.0251.20,NOUVELLE UNITE DIPROMER,NOUVELLE UNITE DIPROMER,"ZONE INDUSTRIELLE 2EME TRANCHE, LOT N° 26-27-28-29 BOUJDOUR",BOUJDOUR,Morocco,"ETETAGE, EVISCERATION ET FILETAE DES PETITS PELAGIQUES, MARINADE DE POISSON, CONDITIONNEMENT DE FILET DE POISSON, TRAITEMENT ET CONGELATION DES PRODUITS DE LA PECHE ET CONGELATION EN iqf PAR IMMERSION EN SAUMURE","ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE",26.11472,-14.38917,9,"Cabo Bojador, Boujdour, Morocco"
PP.71.0250.20,O-2A-FISH,O-2A-FISH,N° 136 Zone Industrielle Al Marsa Layoune,LAAYOUNE,Morocco,"ETETAGE, EVISCERATION DES PETITS PELAGIQUES, FILETAGE ET CONGELATION DES CEPHALOPODES EN IQF ET SALAGE DE LA SARDINE CONGELATION, FILETAGE ET PREPARATION DU POISSON PANE","ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE",27.83333,-12.33333,9,"Laayoune, Morocco"
PP.72.0139.17,OCEAMIC BOUJDOUR,OCEAMIC BOUJDOUR,"LOT H 13, ZONE INDUSTRIELLE BOUJDOUR",BOUJDOUR,Morocco,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE",nan,26.11472,-14.38917,9,"Cabo Bojador, Boujdour, Morocco"
3336,OCEAMIC LAAYOUNE,OCEAMIC LAAYOUNE,ZI LOT N 47 EL MARSA LAAYOUNE,LAAYOUNE,Morocco,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE",27.18064,-13.06349,9,"Laayoune, Morocco"
6127,OCEAMIC LAAYOUNE II,OCEAMIC LAAYOUNE II,MUNICIPALITE EL MARSA LOT N° 60 ZON E INDUSTRIELLE LAAYOUNE,LAAYOUNE,Morocco,CONSERVE DE POISSON,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE",27.83333,-12.33333,9,"Laayoune, Morocco"
PP.25.3535.17,OCEAN DELIGHTS,OCEAN DELIGHTS,LOT 238 PE 26 ZONE INDUSTRIELLE AGADIR,AGADIR,Morocco,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE",30.42018,-9.59815,7,"Agadir, Agadir-Ida-ou-Tnan, Morocco"
4079,OLVEA ATLANTIC,OLVEA ATLANTIC,Z I LOT 631 BP 1761 AIT MELLOUL AGADIR,AGADIR,Morocco,FILTRATION DE L'HUILE DE POISSON DESTINEE A LA CONSOMATION HUMAINE,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE",30.42018,-9.59815,7,"Agadir, Agadir-Ida-ou-Tnan, Morocco"
1425,OMNIUM MAROCAIN DE PECHE INDUSTRIE,OMNIUM MAROCAIN DE PECHE INDUSTRIE,PORT DE PECHE DE TAN TAN,TAN TAN,Morocco,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE",28.43288,-11.08697,1,"Tan Tan, Tan-Tan, Morocco"
3211,OPROP CONGELATION,OPROP CONGELATION,PORT DE PECHE DE TAN TAN,TAN TAN,Morocco,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE",28.43288,-11.08697,1,"Tan Tan, Tan-Tan, Morocco"
6043,ORGAFOOD,ORGAFOOD,ROUTE DU DJORF EL YOUDI SAFI,SAFI,Morocco,CONSERVE DE POISSON,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE",32.29939,-9.23718,7,"Safi, Morocco"
PEF.74.0277.21,OULAD LAKHLIGA FISH,OULAD LAKHLIGA FISH,LOT 140 ZONE INDUSTRIELLE ASSALAM DAKHLA,DAKHLA,Morocco,ENTREPOSAGE DES PRODUTS DE LA PECHE ET DE L'AQUACULTURE,ENTREPOSAGE DES PRODUITS DE LA PECHE SOUS TEMPERATURE DIRIGEE Y COMPRIS LES COQUILLAGES,30.41071,-9.55572,9,"Dakhla, Oued ed Dahab-Lagouira, Morocco"
6046,OUARZA FOOD,OUARZA FOOD,237 HAY EL MASSIRA OURZAZAT,OURZAZAT,Morocco,ENTREPOSAGE,ENTREPOSAGE DES PRODUITS DE LA PECHE SOUS TEMPERATURE DIRIGEE Y COMPRIS LES COQUILLAGES,32.0,-6.0,1,Morocco
3653,OUGALA II,OUGALA II,PORT DE PECHE DE TAN TAN,TAN TAN,Morocco,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE",28.43288,-11.08697,1,"Tan Tan, Tan-Tan, Morocco"
PEF.5.0207.19,OUJDA SAMAK,OUJDA SAMAK,Lot Laayoune n° 33 Ain BORJA Casablanca,CASABLANCA,Morocco,ENTREPOSAGE,ENTREPOSAGE DES PRODUITS DE LA PECHE SOUS TEMPERATURE DIRIGEE Y COMPRIS LES COQUILLAGES,33.58831,-7.61138,6,"Casablanca, Morocco"
5889,OVERSEAS LINK INTERNATIONAL,OVERSEAS LINK INTERNATIONAL,ROUTE LAAYOUNE QUARTIER INDUSTRIEL AL WATAYA N° 56/914 ZONE EXTRA PORTUAIRE TAN TAN PORT,TAN TAN,Morocco,"CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAIS,CONGELATION ET FILETAGE","ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE",,,,
4572,PALACE FISHES,PALACE FISHES,Z.I LOT N° 52 WIFAK OULFA SASABLANCA,CASABLANCA,Morocco,CONGELATION ET ENTREPOSAGE,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE ENTREPOSAGE DES PRODUITS DE LA PECHE SOUS TEMPERATURE DIRIGEE Y COMPRIS LES COQUILLAGES",33.58831,-7.61138,6,"Casablanca, Morocco"
3276,PAMAPECHE,PAMAPECHE,PARCELLE N° 30 ZI NOUVEAU PORT D’ANZA AGADIR,AGADIR,Morocco,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE",30.42018,-9.59815,7,"Agadir, Agadir-Ida-ou-Tnan, Morocco"
PP.6.0190.18,PATY'S,PATY'S,LOT 169 à 180ZONE INDUSTRIELLE SUD- OUEST DE MOHAMMEDIA,MOHAMMEDIA,Morocco,"ELABORATION DES PRODUITS PRECUITS, PANES ET SURGEL2S 0 BASE DES PRODUITS DE LA PECHE","ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE",33.68607,-7.38298,7,"Mohammedia, Morocco"
1322,PECHE ET FROID DU SOUSS,PECHE ET FROID DU SOUSS,ANCIEN PORT DE PECHE AGADIR,AGADIR,Morocco,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE",30.42018,-9.59815,7,"Agadir, Agadir-Ida-ou-Tnan, Morocco"
PP.25.0220.19,PELAGIQUE INDUSTRIE,PELAGIQUE INDUSTRIE,"N°1-11,LOT PARC HALIOPOLIS, CR DRARGA TIKIOUINE, AGADIR",AGADIR,Morocco,CONSERVE DE POISSON,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE",30.42018,-9.59815,7,"Agadir, Agadir-Ida-ou-Tnan, Morocco"
PP.71.0186.18,PELAPRO,PELAPRO,LOT N° 35 ZONE INDUSTRIELLE EL MARSA,LAAYOUNE,Morocco,CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAIS ET CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE",27.83333,-12.33333,9,"Laayoune, Morocco"
5443,PESBAK ET BENJELLOUN II,PESBAK ET BENJELLOUN II,MAGASIN N° 1 PORT DE PECHE TANGER,TANGER,Morocco,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE",35.76727,-5.79975,6,"Tangier, Tanger-Assilah, Morocco"
PP.34.0164.18,PESCAB,PESCAB,LOCAL N° 13-14 PORT DE PECHE DE TANGER,TANGER,Morocco,CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAIS ET FILETAGE,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE",35.76727,-5.79975,6,"Tangier, Tanger-Assilah, Morocco"
2385,PESCA DEL SUR,PESCA DEL SUR,ZI VILLE DE DAKHLA,DAKHLA,Morocco,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE",30.41071,-9.55572,9,"Dakhla, Oued ed Dahab-Lagouira, Morocco"
3287,PESCA GHARB,PESCA GHARB,AVANT PORT DE MEHDIA,KENITRA,Morocco,"CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAIS, CONGELATION, PREPARATION DES PRODUITS SEMI CUITS, DECORTICAGE DES OURSINS ET MARINADE","ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE",34.58333,-6.33333,1,"Kenitra, Morocco"
PP.7.3389.17,PESCA MAREE IMPORT EXPORT,PESCA MAREE IMPORT EXPORT,Km 16.5 DOUAR AARABA DAR BOUAZZA PROVINCE DE NOUCEUR CASABLANCA,CASABLANCA,Morocco,CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAIS,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE",33.58831,-7.61138,6,"Casablanca, Morocco"
PP.34.3583.19,PESCA ZERHOUN,PESCA ZERHOUN,PORT DE PECHE DE TANGER,TANGER,Morocco,CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAIS,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE",35.76727,-5.79975,6,"Tangier, Tanger-Assilah, Morocco"
