approval_no,plant_name,company,address,town_region,country,scope,expiry_date
1150,New Faizan Foods,New Faizan Foods,"Plot No.301 G.I.D.C. Estate Behind Association Hall, Veraval
- 362269, Gujarat, India,",Gujarat,India,FROZEN (IF-BLAST/BLOCK/IQF) RAW/BLANCHED FISH AND FISHERY PRODUCTS (EXCLUDING AQUACULTURE),21/05/2027
1153,SILVER STAR EXPORTS,SILVER STAR EXPORTS,"Javar Village, Porbandar - 360575, Gujarat, India",Gujarat,India,Freezing of Raw Fish & Fishery Produts (Block/IF/IQF) (Including Aquaculture) and Frozen Surimi,12/10/2027
1156,Sun Exports.,Sun Exports.,"Plot No. 1313, GIDC Estate, Veraval-362269, Gujarat.,",Veraval-362269,India,"FREEZING OF RAW FISH & FISHERY PRODUCTS (BLOCK/BLAST/IF) CRUSTACEANS, CEPHALOPODS, NON-HISTAMINE & HISTAMINE",08/12/2027
1158,NILESH SEA FOODS,NILESH SEA FOODS,"Plot No.214,Vanana,G.I.D.C.Estate,Taluka Ranavav,Porbandar-360575,Gujarat,India",Gujarat,India,Freezing of Raw Fish and Fishery Products(Block/IF-Blast/IQF) (Excluding Aquaculture),29/11/2027
1163,J. M. Marine Exports,J. M. Marine Exports,"R.S.No.1798/1, Paikey,s Near GIDC Udyog Nagar, Patan Road, Veraval-362269. Gujarat, India,",Veraval-362269. Gujarat,India,FROZEN (BLOCK/IF-BLAST/IQF) RAW FISH AND FISHERY PRODUCTS (EXCLUDING AQUACULTURE),08/03/2026
1164,"Pesca Marine Products Pvt.Ltd.,","Pesca Marine Products Pvt.Ltd.,","Plot No. 407 / 410 , GIDC Estate, Veraval-362269, Gujarat-India.,",Veraval-362269,India,FROZEN (IF-BLAST) RAW FISH AND FISHERY PRODUCTS (EXCLUDING AQUACULTURE),02/03/2026
1165,Sanchita Frozen Foods Pvt. Ltd.,Sanchita Frozen Foods Pvt. Ltd.,"Plot No. M – 7A, MIDC Industrial Area, Taloja, Raigad District, Maharashtra – 410208, India",Maharashtra – 410208,India,Fresh/Chilled Raw and Frozen Fish & Fishery Products and Frozen (Block/ IF-Blast/IQF)Raw/Blanched/Cooked Fish and Fishery Products (Including Aquaculture),06/04/2026
1166,Amar Aquatic (A Unit of Amar Polyfils Pvt. Ltd.),Amar Aquatic (A Unit of Amar Polyfils Pvt. Ltd.),"Survey No. 62, Village Vanana, Porbandar-360550, Gujarat, India.",Gujarat,India,Processing and Packing of Fish Collagen and Fish Gelatin For Human Consumption,21/08/2027
1168,"Dolphin Marine Foods & Processors (India) Pvt. Ltd.,","Dolphin Marine Foods & Processors (India) Pvt. Ltd.,","PLOT No.M-13, MIDC INDUSTRIAL ESTATE, TALOJA, DIST -  RAIGAD, PIN - 410208, MAHARSAHTRA, INDIA",MAHARSAHTRA,India,"PACKING OF FRESH/CHILLED FISH & FISHERY PRODUCTS, FREEZING OF RAW FISH & FISHERY PRODUCTS (BLOCK/IF-BLAST)",27/09/2027
1170,Asha Ganga Exports.,Asha Ganga Exports.,"Plot No. 310/B, G.I.D.C. Estate, Veraval-362269, Gujarat, India",Gujarat,India,FREEZING OF RAW FISH & FISHERY PRODUCTS (BLOCK/IF-BLAST/IQF) (INCLUDING AQUACULTURE),29/11/2027
1171,Indo Tech Ice And Cold Storage,Indo Tech Ice And Cold Storage,"Plot No. U-10, Cuncolim Industrial Estate, Cuncolim Salcete, Goa-403703, India",Goa-403703,India,Freezing of Raw Fish & Fishery Products (Block/IF-Blast) (Excluding Aquaculture),19/11/2027
1172,Sagar Feeds & Food Processing Industries,Sagar Feeds & Food Processing Industries,"Plot No. L-27, GIDC, Cuncolim Industrial Estate, Cuncolim, Goa- 403703, India",Goa- 403703,India,Freezing of Raw Fish & Fishery Products (Block/ IF/Blast)  (Excluding Aquaculture),14/01/2028
1173,SIDDIQ SEA FOOD UNIT II,SIDDIQ SEA FOOD UNIT II,"All Weather Port Road, Bokhira, Porbandar-360575, Gujarat, India",Gujarat,India,Freezing of Raw Fish & Fishery Products (Blast-IF) (Excluding Aquaculture),04/02/2028
1192,Ulka Sea Foods Pvt. Ltd.,Ulka Sea Foods Pvt. Ltd.,"Plot No. M-34/2, 35, MIDC,Taloja, Dist. Raigad, Maharashtra-410208, India",Maharashtra-410208,India,Packing of Fresh / Chilled Raw Fish and Fishery Products and Frozen (Block/IQF*) Raw /Blanched/ Cooked Fish and Fishery Products (Including Aquaculture)  and Frozen Fish Meat Surimi,17/04/2026
1193,United Marine Products,United Marine Products,"Plot No. L-28, Cuncolim, Industrial Estate, Cncolim, Salcete, Goa-403703, India",Goa-403703,India,"Processing of Steam Dried Fish Meal, Fish Oil & Fish Soluble paste (Unfit for Human Consumption)",15/04/2026
1195,WEST COAST FOODS,WEST COAST FOODS,"PLOT NO. 34, GIDC, VANANA PORBANDAR-360575, INDIA",VANANA PORBANDAR-360575,India,"FRESH/CHILLED RAW,FROZEN (BLOCK/IQF/IF) RAW FISH AND FISHERY PRODUCTS. (EXCLUDING AQUACULTURE)",08/05/2027
1196,KAN VICTUAL PVT. LTD. UNIT-II,KAN VICTUAL PVT. LTD. UNIT-II,"R. S. No. 796, Paiki 1, All Weather Port Road, Bokhira, Porbandar-360575 , Gujarat, India",Gujarat,India,Frozen (Block/IF-Blast/IQF) Raw Fish and Fishery Products (Excluding Aquaculture),21/07/2027
1197,SONIA FISHERIES PVT. LTD.,SONIA FISHERIES PVT. LTD.,"Plot No.M-39,MIDC, Taloja, District-Raigad , Maharashtra - 410208, India",Maharashtra - 410208,India,"Packing of Fresh/ Chilled Fish & Fishery Products, Freezing of Raw Fish & Fishery Products (Block/IF-Blast/IQF)",17/08/2027
